1,55931,85681,102181,180281,223681,246381,271681
1,40911,84991,181091,262291,289991,313491,336391
1,62261,83961,98361,181061,211061,234261,257861
1,45781,84551,95851,177951,193651,216851,239951
1,63971,85121,97621,177921,209821,233021,257021
1,69381,84781,90081,169381,189181,211981,235981
1,46331,83761,101561,184861,210361,232761,255761
1,53801,84811,98711,183211,224211,246811,270311
1,69131,84661,98261,177561,199861,223061,246761
1,70041,84941,91941,175641,195041,217941,240741
1,77641,84741,98841,186141,229541,252241,276041
