accX,accY,accZ
10.51,2.039,-0.941
10.667,1.725,-1.098
10.51,1.725,-1.098
10.667,1.569,-0.627
10.51,1.569,-0.627
10.667,1.255,-0.471
10.824,0.941,-0.471
11.137,0.941,-0.627
10.667,0.941,-0.627
10.667,0.784,-0.471
10.667,0.941,-0.627
10.039,0.784,-0.627
10.039,0.941,0
9.725,1.098,0
9.255,1.098,0.314
8.627,1.255,0.314
7.843,0.941,0.627
7.216,1.098,1.098
6.588,0.941,1.098
6.275,1.098,1.412
6.118,1.255,1.569
5.49,1.255,1.255
5.647,1.098,1.412
5.804,1.098,1.412
5.804,1.412,1.569
5.961,1.255,1.412
6.275,1.255,1.255
6.588,1.725,1.412
6.902,1.569,0.941
7.216,1.725,1.098
7.373,1.725,0.627
7.843,1.569,0.471
8.314,1.882,0.627
8.627,2.196,0.627
8.627,2.196,0.471
8.941,2.196,0.627
9.098,2.353,0.471
9.412,2.196,0.157
9.725,2.196,0.157
10.039,2.196,0.157
10.824,2.353,0.314
10.824,2.353,0.314
11.294,2.353,0.314
11.608,2.353,0.471
11.765,2.353,0.471
11.608,2.196,0.314
11.137,2.196,0.784
10.667,2.667,0.471
10.353,2.824,0.627
10.667,3.137,0.784
10.824,2.824,0.471
11.451,2.824,0.941
12.078,2.667,1.098
12.392,2.667,0.941
13.02,2.667,0.784
13.333,2.51,0.314
13.49,2.039,0.157
13.333,1.569,0.314
13.02,0.784,0.314
12.706,0.314,0.627
12.706,0.314,0.471
12.235,0.627,0.471
12.078,0.627,0.784
12.549,0.941,0.784
12.706,0.784,0.784
13.176,0.471,0.941
12.549,0.314,0.941
12.706,0,0.784
12.392,-0.314,1.098
12.392,-0.314,0.941
12.235,-0.627,0.941
11.922,-0.627,0.941
11.608,-0.471,0.784
10.667,-0.314,0.627
10.353,-0.314,0.627
10.353,-0.314,0.471
10.039,0,0
9.882,0,-0.314
9.412,0.157,0
9.412,0.627,-0.314
8.941,1.412,-0.627
8.784,1.569,-0.471
8.627,1.882,-1.098
8.941,1.569,-0.784
8.627,1.569,-0.941
8.627,1.882,-0.627
7.843,1.882,-0.314
7.373,1.882,-0.157
7.373,1.882,0
6.745,1.412,0.157
6.588,1.569,0.627
6.902,1.569,0.627
6.588,1.569,0.941
6.588,1.412,0.784
6.745,1.255,0.941
6.745,1.412,0.941
6.588,1.098,1.255
6.588,1.255,1.569
6.902,1.412,1.569
6.745,1.569,1.725
6.588,1.725,1.725
6.588,1.569,1.569
6.902,1.569,1.882
7.216,1.882,1.882
7.059,1.882,2.039
7.059,2.039,2.196
7.529,2.039,2.196
7.686,2.51,2.196
8.314,2.353,2.51
8.627,2.353,2.667
8.941,2.51,2.824
8.941,2.667,2.667
8.941,2.824,2.824
9.098,2.98,2.98
9.255,2.98,2.824
9.412,3.294,2.51
9.255,3.294,2.51
9.412,2.98,1.882
9.412,2.98,1.569
9.725,2.98,1.098
9.882,3.137,0.784
10.196,3.137,0.314
10.98,2.824,0.314
10.98,3.137,0.314
10.667,3.922,0.157
10.196,4.078,0
9.725,4.706,-0.157
10.196,5.02,-0.471
10.98,5.02,-0.784
12.392,4.863,-1.255
13.333,4.392,-1.725
15.216,4.235,-2.196
15.843,4.235,-2.51
16.784,4.235,-3.137
16.784,4.392,-3.137
16.157,4.549,-3.922
15.373,4.392,-3.451
14.745,4.549,-3.294
13.333,4.392,-3.294
13.333,3.922,-3.137
12.706,4.078,-2.98
12.549,3.765,-2.824
12.549,3.608,-2.667
11.765,3.137,-2.824
11.608,3.137,-2.196
10.51,2.824,-1.882
10.039,2.667,-1.725
9.725,2.196,-1.098
8.941,2.196,-0.941
8.157,2.196,-1.098
7.843,1.725,-0.627
8,1.882,-0.471
7.373,1.725,0
7.373,1.725,0
7.216,1.412,0
7.216,1.725,0.157
7.529,1.412,0
7.843,1.412,-0.471
8.314,1.569,-0.314
8.471,1.255,-0.314
8.471,1.412,-0.471
8.471,1.412,-0.471
8.471,1.098,-0.471
8.314,0.784,-0.314
8.627,0.941,-0.314
8.157,0.784,-0.157
7.529,0.784,-0.314
7.373,0.784,0
7.373,1.098,-0.314
7.216,0.941,-0.157
