accX,accY,accZ
3.922,2.039,9.412
3.608,2.039,9.255
3.765,2.039,9.255
3.451,1.725,9.098
3.294,1.569,9.255
3.294,1.412,9.255
3.294,1.569,8.941
3.294,1.255,9.098
3.451,1.569,9.098
3.451,1.412,9.098
3.294,1.569,9.098
3.294,1.412,9.098
2.98,1.725,9.255
2.824,1.569,9.098
2.98,1.725,9.098
2.824,1.882,9.098
2.824,1.882,9.412
2.98,1.725,9.098
3.294,2.039,8.941
3.294,2.196,8.941
3.294,2.196,8.627
3.137,2.196,8.784
3.137,2.353,8.784
2.824,2.824,8.627
2.824,2.667,8.471
2.353,2.824,8.471
2.353,2.824,8.157
2.353,2.824,8.157
2.353,2.667,8
2.667,2.98,8
3.137,2.98,8.157
3.451,3.137,8.314
3.451,3.294,8.471
3.608,3.294,8.157
3.765,3.451,8.157
3.608,3.451,8.157
3.765,3.451,8
3.608,3.451,8.157
3.451,3.451,7.843
3.451,3.451,7.843
3.294,3.451,7.843
3.451,2.98,8
3.765,3.294,8.157
3.922,3.294,8.471
3.922,3.451,8.627
3.922,3.294,8.784
3.922,3.451,8.784
3.765,3.765,8.627
3.922,3.451,8.471
3.608,3.608,8.314
3.608,3.765,8
4.078,3.608,8
3.922,3.608,8.157
4.078,3.451,8.314
4.078,3.451,8.157
4.235,3.608,8.627
4.706,2.98,8.784
4.706,3.294,8.784
4.706,2.98,8.627
4.706,2.667,9.098
4.706,2.667,9.098
4.706,2.353,8.784
4.549,2.196,8.784
4.549,2.51,8.627
4.392,2.353,8.627
4.863,2.353,8.784
4.863,2.51,8.627
5.333,2.824,8.471
5.647,2.824,8.314
6.275,2.824,8.471
6.588,2.824,8.314
6.745,2.824,8.314
6.745,2.824,7.529
6.588,2.824,7.686
6.275,2.824,7.216
6.431,2.824,7.373
6.588,2.667,7.059
7.059,2.353,7.059
7.373,2.196,6.902
8.627,1.412,7.843
9.569,1.098,8
10.51,0.784,8.471
10.667,0.157,8.784
10.98,0.157,9.412
10.353,-0.314,9.569
9.882,-0.157,9.569
9.255,-0.157,9.569
8.471,-0.314,9.412
7.529,0.157,9.098
7.686,0.314,8.941
7.686,0.314,8.784
8.157,0.471,8.471
8.627,0.941,8.157
9.569,0.784,8.314
10.196,0.627,7.843
10.667,0.314,8.314
10.51,0,8.471
10.667,-0.157,7.843
9.882,-0.471,7.686
9.569,-0.314,7.529
9.569,-0.314,6.745
9.255,-0.627,6.431
8.784,-1.569,6.275
8.314,-1.412,6.275
7.059,-0.941,5.961
6.118,-0.627,5.333
5.804,-0.784,5.49
5.333,-0.784,5.02
5.176,-0.941,5.333
5.02,-0.471,5.647
5.176,-0.471,5.804
5.176,-0.471,6.118
5.02,-0.471,6.275
5.176,-0.157,6.431
4.706,0,6.275
4.549,0.157,5.804
3.922,0.157,5.804
3.451,0.157,5.49
2.98,-0.157,5.647
3.608,-0.314,5.02
4.235,-0.157,4.706
4.863,-0.314,5.333
5.333,-0.314,5.176
6.431,-0.627,5.647
7.059,-0.784,5.49
8.784,-1.098,6.118
9.725,-1.412,6.431
9.882,-1.725,6.431
10.353,-2.039,6.588
10.196,-2.196,6.902
10.824,-2.039,6.588
10.824,-2.196,6.431
11.137,-2.51,5.49
10.98,-2.98,5.176
10.667,-2.824,4.549
10.196,-3.137,4.392
9.882,-3.137,4.078
9.725,-4.078,4.706
10.667,-4.706,5.02
10.824,-4.863,5.176
11.451,-5.333,5.804
11.608,-5.176,5.804
11.922,-5.176,6.275
12.392,-5.02,6.275
12.392,-5.333,6.275
11.765,-5.176,6.431
11.451,-5.176,6.275
10.353,-5.02,5.961
10.039,-5.02,5.647
9.255,-5.02,5.333
8.784,-5.176,4.863
10.039,-5.02,5.176
11.294,-3.922,5.333
10.353,-4.235,5.804
10.98,-3.294,6.118
11.137,-3.137,6.275
10.353,-3.922,6.588
9.882,-4.078,7.059
9.412,-4.863,6.431
9.569,-5.49,5.647
9.725,-5.333,5.02
8.784,-5.02,4.392
8.784,-4.706,3.922
8.941,-4.549,3.608
8.627,-4.392,3.294
8.471,-3.608,3.294
8.784,-3.137,3.294
8.784,-2.667,3.294
8.941,-2.039,3.922
8.784,-1.882,4.078
8.941,-1.569,4.235
8.471,-1.412,4.549
8,-1.412,4.392
8,-0.784,4.078
7.843,-0.627,4.078
7.529,-0.627,3.608
7.373,-0.314,3.608
6.902,-0.157,2.667
6.745,0.157,2.51
6.275,0,1.882
6.118,0,1.882
6.275,0,1.725
6.588,0,2.196
6.431,-0.157,2.51
6.431,-0.314,2.667
6.902,-0.314,3.137
7.059,-0.471,3.451
7.373,-0.627,3.922
7.373,-0.784,4.078
7.373,-0.471,3.765
7.529,-0.471,3.922
8,-0.157,4.078
8.314,-0.157,4.235
8,-0.314,4.235
6.902,0.157,4.078
6.745,0.157,4.235
6.431,0.471,3.608
6.275,0.314,3.608
6.431,0.471,3.765
6.275,0.784,3.765
6.275,0.941,3.765
6.275,0.941,4.392
6.431,0.941,4.078
7.059,1.098,4.392
7.529,0.784,4.235
8.471,0.784,4.549
8.784,0.627,4.078
10.196,0.314,3.765
11.451,0.471,2.824
11.765,0.314,3.137
12.863,0.314,2.353
12.863,0.314,2.353
13.02,0.157,2.51
13.176,0.157,2.98
13.804,-0.157,2.667
14.902,-1.098,3.922
15.529,-1.569,4.078
16.471,-2.196,4.078
16.471,-2.667,4.392
15.373,-3.608,4.392
13.961,-3.922,4.549
13.804,-3.608,4.392
12.392,-3.765,4.549
11.451,-3.137,4.392
11.451,-2.667,4.706
11.294,-2.51,4.706
11.294,-2.51,5.176
10.196,-2.824,5.961
10.039,-2.824,6.431
11.294,-2.51,5.961
11.451,-2.51,5.804
12.235,-2.353,5.02
11.294,-2.196,4.235
9.412,-2.353,4.549
8,-3.294,6.275
8.471,-3.137,6.275
9.569,-2.824,5.49
7.373,-3.137,6.275
6.588,-2.824,6.118
6.588,-2.353,5.647
7.059,-2.039,5.176
5.02,-2.667,6.275
4.235,-2.353,6.902
4.078,-2.353,7.843
4.235,-2.824,8
3.765,-2.039,8.471
3.451,-1.569,8.314
4.392,-2.039,8
4.706,-1.725,8.314
5.176,-1.098,7.843
5.961,-0.471,6.275
6.431,-0.314,5.02
7.216,-0.157,3.608
7.216,-0.314,4.392
7.529,-0.314,4.863
6.431,-0.941,7.216
6.118,-1.412,8
5.961,-1.882,9.882
5.176,-2.039,10.196
4.392,-2.196,10.039
4.549,-2.353,9.725
3.922,-2.353,8.941
4.235,-1.882,7.216
4.549,-1.412,6.588
6.745,-0.941,6.118
7.686,-0.941,5.961
9.098,-0.941,7.373
8.471,-1.255,7.843
8.314,-2.039,8.471
8.314,-2.824,7.373
8,-2.353,7.373
6.588,-1.882,6.902
5.333,-2.039,5.961
4.863,-2.196,4.235
4.863,-1.882,3.608
5.333,-2.667,4.863
6.902,-2.824,5.804
6.745,-2.824,6.431
5.961,-1.882,7.529
5.804,-1.412,6.745
6.588,-2.98,7.843
7.373,-3.137,7.686
8.157,-4.706,8.314
7.059,-5.333,9.098
6.118,-5.804,9.569
5.333,-6.588,9.412
4.392,-6.275,9.255
5.961,-6.745,7.059
6.745,-6.431,6.588
7.216,-4.549,7.216
8.314,-3.765,7.216
8.314,-3.765,7.216
7.373,-3.451,6.745
6.431,-3.922,7.216
5.961,-4.706,8.627
6.275,-5.176,9.725
6.431,-5.804,9.725
6.745,-6.118,9.569
6.745,-5.961,9.569
6.588,-5.49,9.569
6.431,-5.49,9.412
7.059,-4.706,8.314
7.059,-4.392,8.157
6.745,-3.922,8
7.373,-3.294,8.157
7.843,-2.667,7.843
7.686,-1.882,6.902
7.529,-1.725,5.961
5.961,-1.255,5.49
4.392,-1.098,5.176
4.235,-1.098,5.49
3.451,-0.941,5.333
3.608,-0.784,5.176
2.51,-0.784,5.49
2.039,-0.627,5.49
1.098,-0.784,5.49
1.412,-0.941,4.863
