accX,accY,accZ
1.569,-8.784,2.51
1.569,-8.627,2.98
1.569,-8.157,2.824
1.569,-8.157,3.137
1.569,-7.686,3.451
1.412,-7.529,3.608
1.255,-7.216,3.608
1.569,-6.902,3.765
1.412,-6.745,3.765
1.412,-6.745,3.765
1.412,-6.275,4.078
1.412,-6.588,3.765
1.255,-6.431,3.765
1.412,-6.275,3.922
1.255,-6.588,3.765
1.412,-6.588,3.451
1.255,-6.431,3.765
1.098,-6.431,3.451
0.941,-6.431,3.294
0.941,-6.588,3.451
1.098,-6.745,3.451
1.255,-6.902,3.451
1.098,-6.902,3.294
1.412,-7.216,3.922
1.569,-7.373,3.765
1.725,-7.529,4.078
1.882,-7.843,4.392
2.039,-7.686,4.549
2.196,-7.843,4.235
2.196,-8.157,4.392
2.353,-8.314,4.235
2.51,-8.314,4.235
2.824,-8.471,4.392
2.98,-8.314,4.549
3.294,-8.314,4.235
3.294,-8.471,4.392
3.137,-8.471,4.235
3.608,-8.471,4.392
3.451,-8.784,4.235
3.608,-8.784,4.392
4.078,-9.098,4.235
4.078,-9.255,4.078
4.235,-9.412,4.235
4.235,-9.569,4.235
4.392,-10.039,4.235
4.392,-10.196,4.392
4.549,-10.196,4.235
4.078,-9.725,3.922
4.078,-9.725,3.608
4.078,-9.569,3.451
4.235,-9.882,2.98
4.392,-10.353,3.451
4.706,-10.98,3.294
4.706,-11.922,3.608
4.706,-13.02,3.922
5.02,-13.02,4.392
5.333,-13.961,5.02
5.49,-14.118,5.02
5.49,-13.804,4.392
5.49,-13.647,4.078
5.49,-13.647,2.98
5.02,-13.49,2.353
5.02,-13.49,2.039
4.392,-13.49,1.725
3.922,-13.176,1.725
3.294,-13.647,1.569
3.137,-13.804,1.725
2.196,-13.961,1.412
1.725,-13.647,1.569
1.882,-13.333,1.412
1.569,-12.863,1.412
1.412,-12.706,1.412
1.569,-11.922,1.412
1.569,-12.078,1.255
1.569,-10.98,1.098
1.725,-10.196,1.255
1.569,-10.353,1.098
1.882,-10.196,1.569
1.882,-10.196,1.569
2.196,-9.725,0.941
2.196,-9.569,1.098
1.882,-8.941,0.941
1.882,-8.471,0.784
1.882,-8.314,0.941
2.039,-8,0.627
2.039,-7.686,0.784
1.882,-7.529,0.784
1.882,-7.373,0.784
2.039,-7.216,0.784
1.882,-7.529,0.784
2.039,-7.373,0.941
1.882,-7.529,1.098
1.882,-7.216,1.412
2.039,-6.902,1.412
1.882,-6.902,1.412
2.039,-6.745,1.255
2.039,-6.431,1.098
2.196,-6.275,1.412
2.353,-5.961,1.255
2.51,-5.961,1.255
2.98,-5.961,1.412
2.824,-6.118,1.412
2.824,-6.431,1.412
2.824,-6.745,1.569
2.824,-7.059,1.569
2.98,-7.216,1.569
3.137,-7.373,1.569
2.98,-7.843,1.412
3.137,-7.843,1.725
3.294,-8.471,1.725
3.137,-8.784,1.725
3.137,-9.098,1.725
3.137,-9.412,2.039
3.137,-9.569,2.039
3.451,-9.569,1.882
3.451,-9.255,2.353
3.294,-9.255,2.51
3.294,-9.098,2.196
3.137,-9.098,2.196
2.824,-9.569,2.196
2.824,-9.882,1.882
2.51,-11.137,1.569
2.51,-12.235,1.412
2.353,-13.02,1.412
