accX,accY,accZ
-0.627,-6.118,1.412
-0.471,-5.961,1.255
-0.627,-6.275,0.941
-0.784,-6.118,0.941
-0.784,-6.275,1.098
-0.941,-6.431,0.784
-0.627,-6.588,0.627
-0.941,-6.588,0.471
-0.784,-6.745,0.314
-0.627,-6.902,0.314
-0.471,-7.216,0.471
-0.471,-7.373,0.314
-0.471,-7.529,0.314
-0.784,-7.686,0.314
-0.471,-7.843,0.314
-0.627,-8.157,0.314
-0.627,-8.471,0.157
-0.627,-9.412,0.314
-0.784,-9.725,0.314
-1.098,-10.196,0.784
-1.725,-10.824,0.784
-2.039,-10.98,0.627
-2.51,-11.765,0.627
-2.667,-11.922,0.627
-2.667,-12.863,0.314
-2.196,-13.647,-0.314
-2.039,-14.118,-0.627
-1.255,-14.118,-1.569
-0.941,-13.961,-1.725
0,-13.176,-2.196
0.627,-11.608,-0.157
0.157,-10.196,0.627
-1.569,-8,4.863
-3.451,-8,8.314
-6.902,-10.196,13.02
-6.902,-13.02,13.804
-4.392,-17.725,12.392
-1.725,-19.608,10.196
0,-19.922,8.941
2.667,-18.196,6.745
2.824,-15.529,5.804
3.451,-12.549,5.49
2.196,-11.294,4.706
0.784,-10.353,3.608
-1.882,-9.412,2.353
-2.824,-9.098,1.882
-3.765,-9.725,1.255
-3.608,-11.294,1.412
-2.667,-12.235,2.039
-1.569,-13.49,4.235
-1.098,-13.647,5.02
0,-13.333,6.431
0,-12.863,6.118
0.314,-11.922,6.118
0.471,-10.824,5.333
0.941,-10.196,4.235
0.941,-8.941,2.51
0.784,-8.471,1.569
0.471,-7.216,0.157
0.157,-5.961,-0.157
0,-5.49,-0.314
0,-4.549,0.157
-0.157,-3.922,0.157
-0.157,-3.294,0.314
-0.471,-2.98,0.471
-0.471,-2.824,0.627
-0.471,-2.98,0.784
-0.314,-3.294,1.098
0,-3.608,1.098
-0.157,-3.608,1.255
0,-4.078,1.412
0.941,-5.176,1.098
0.784,-5.49,1.569
0.627,-5.49,0.941
0.784,-5.804,0.627
0.784,-6.275,0.314
0.627,-6.588,0.157
0.784,-6.588,-0.157
0.627,-6.588,-0.314
0.627,-6.902,0
0.471,-7.059,-0.157
0.314,-7.686,0.157
0.314,-7.686,0.157
0.157,-9.412,0.314
0.471,-9.725,0.314
0.627,-10.824,1.098
0.784,-11.137,1.255
1.098,-12.078,1.569
1.725,-13.333,0.627
1.882,-14.431,0.157
2.039,-16.157,-0.627
1.882,-16.627,-0.941
1.412,-17.098,-1.412
0.314,-16.471,-2.196
-0.314,-15.843,-2.667
-1.569,-14.902,-3.294
-2.353,-14.275,-3.608
-3.294,-11.922,-2.353
-2.98,-10.039,1.412
-1.725,-10.353,5.961
0.471,-12.078,14.275
2.353,-12.863,14.902
3.137,-14.745,13.176
2.824,-16.157,11.451
2.196,-17.569,8.314
-0.314,-15.843,4.706
-2.196,-15.216,3.451
-4.235,-13.02,2.98
-4.392,-12.549,3.137
-2.51,-11.765,4.078
-1.098,-10.353,4.078
-0.471,-10.039,3.922
-0.157,-10.353,3.137
-0.314,-10.98,3.294
-0.314,-12.078,2.667
0,-12.392,2.196
0.314,-12.078,2.196
0.784,-10.824,2.51
0.784,-10.039,2.824
0.471,-8.784,2.824
0.471,-7.686,2.824
0.157,-6.118,2.51
0,-5.176,1.882
0,-4.863,1.725
-0.157,-4.078,0.941
-0.157,-3.608,0.941
-0.314,-2.824,0.627
-0.314,-2.353,0.157
-0.157,-2.353,0.627
-0.314,-2.51,0.784
0,-2.824,1.098
-0.157,-3.451,1.255
-0.314,-4.078,1.725
-0.314,-4.549,1.412
-0.627,-5.49,1.098
-0.627,-5.804,0.941
-0.784,-6.588,0.941
-0.784,-6.588,0.941
-1.098,-6.902,1.098
-0.784,-7.216,1.098
-0.784,-7.529,0.941
-0.784,-7.843,0.314
-1.098,-8.314,0
-1.098,-8.784,-0.627
-1.412,-9.725,-0.471
-1.725,-9.725,-0.627
-1.569,-10.353,-0.941
-1.882,-10.196,-0.627
-1.882,-10.667,-0.471
-2.824,-10.98,0.314
-2.667,-10.98,0.314
-2.98,-10.98,0.471
-3.294,-11.608,0.157
-3.294,-12.549,-0.471
-3.294,-12.863,-0.784
-3.451,-13.333,-0.941
-2.98,-13.333,-1.569
-2.353,-12.863,-1.882
-0.314,-12.078,-1.882
0.157,-11.451,-1.412
1.098,-9.882,-0.157
0,-8.941,3.765
-1.412,-10.039,8.471
-4.549,-12.706,15.216
-4.863,-13.647,14.431
-2.51,-17.098,9.255
-0.471,-18.824,6.588
1.882,-18.353,5.647
3.294,-16.314,3.922
2.824,-14.902,3.765
1.725,-13.804,4.235
0.314,-13.647,4.392
-1.882,-13.02,3.294
-2.98,-12.392,2.51
-2.824,-12.392,2.039
-2.51,-12.706,2.196
-2.353,-13.02,2.51
-2.039,-13.49,2.824
-2.196,-13.176,2.824
-2.196,-12.863,2.824
-1.412,-11.294,3.137
-0.471,-10.98,2.824
0,-9.098,2.51
0.471,-8.627,1.569
0.471,-7.529,1.255
0.314,-6.431,1.255
0,-5.961,0.941
-0.157,-5.02,0.784
-0.314,-4.235,0.627
-0.471,-3.294,0.627
-0.471,-2.824,0.627
-0.627,-2.353,0.784
-0.627,-2.196,0.784
-1.412,-2.039,0.471
-0.941,-1.882,0.314
-1.098,-1.725,0.784
-1.412,-2.196,0.784
