accX,accY,accZ
1.098,-5.333,-4.706
0.784,-5.02,-4.706
0.784,-5.176,-4.706
0.627,-5.333,-5.02
0.784,-5.176,-5.176
1.098,-5.647,-5.647
0.471,-5.49,-5.176
1.255,-5.647,-6.118
1.098,-5.333,-6.118
1.098,-5.647,-5.961
1.569,-5.961,-6.431
1.412,-6.118,-6.118
1.412,-6.275,-6.118
1.255,-6.588,-6.275
0.941,-6.431,-6.431
0.627,-6.588,-6.431
0.314,-7.059,-6.275
0.471,-7.373,-6.588
0.941,-7.529,-6.745
1.569,-7.843,-7.216
0.941,-8.314,-7.059
1.412,-9.098,-8
0.941,-9.882,-8.471
0.627,-10.039,-8.941
0.314,-10.51,-9.725
0,-10.353,-9.725
-0.157,-10.353,-9.725
-0.627,-10.353,-8.941
-0.627,-11.294,-8.784
-1.255,-11.451,-8
0.314,-13.02,-6.745
3.294,-15.686,-6.118
3.922,-15.843,-5.804
4.863,-15.373,-5.49
5.176,-14.745,-5.02
3.922,-13.176,-3.294
3.137,-11.294,-1.412
2.353,-10.51,-0.941
2.039,-9.412,-0.941
1.255,-8.627,-0.941
0.941,-7.843,-1.255
0.471,-7.686,-2.196
0,-8,-3.922
0.627,-8.471,-5.647
0.627,-8.627,-6.275
0.627,-9.255,-7.216
0.471,-9.412,-6.745
1.255,-9.882,-6.118
1.882,-10.039,-5.647
2.353,-10.039,-5.333
2.51,-10.039,-5.02
2.824,-9.725,-4.706
2.667,-8.941,-4.392
1.725,-7.843,-4.235
1.412,-7.373,-4.392
0.627,-6.431,-4.392
0.157,-5.961,-4.235
-0.314,-5.49,-4.549
-0.314,-5.49,-4.392
-0.627,-5.333,-4.549
-0.784,-5.176,-3.922
-0.941,-5.176,-3.922
-0.784,-5.333,-3.608
-0.941,-5.49,-3.451
-0.627,-5.333,-3.608
-0.314,-5.647,-3.294
-0.157,-5.333,-3.294
-0.157,-5.49,-3.294
0.157,-5.176,-3.137
0.157,-5.176,-3.451
0.157,-5.176,-4.235
0.314,-5.176,-4.235
0.157,-5.02,-4.235
0.157,-5.02,-4.549
0.157,-5.176,-4.706
0.157,-5.49,-4.863
-0.157,-5.647,-4.863
-0.157,-6.275,-5.02
-0.314,-6.431,-4.863
-0.627,-6.902,-5.647
-0.471,-6.902,-5.804
-0.471,-7.373,-6.275
-0.471,-7.529,-6.745
-0.314,-7.686,-6.902
-0.471,-8.471,-7.059
-0.314,-8.784,-7.373
-0.314,-9.412,-7.216
-0.471,-9.882,-7.059
-0.314,-10.51,-6.588
-0.784,-11.451,-7.059
-1.098,-11.294,-7.373
-1.569,-11.294,-7.843
-1.255,-11.294,-8.314
-1.255,-10.98,-9.098
-0.941,-10.196,-9.725
-0.941,-9.725,-9.569
-0.157,-9.569,-9.255
0,-10.039,-9.098
-0.157,-10.824,-8
