accX,accY,accZ
-9.412,-3.922,-0.471
-7.843,-4.706,-0.627
-6.902,-7.529,-0.627
-6.431,-8.941,-0.941
-5.49,-11.765,-0.784
-5.02,-12.078,-1.882
-3.137,-14.118,-2.039
-3.451,-15.843,-1.725
-3.294,-17.255,-3.294
-3.137,-19.137,-5.02
-3.137,-20.078,-6.275
-2.353,-24.314,-8.157
-1.569,-26.824,-9.098
2.196,-32,-11.451
5.49,-34.51,-13.49
9.569,-33.569,-17.255
10.039,-30.431,-16.314
12.235,-28.549,-15.216
17.098,-27.765,-14.118
19.137,-26.51,-13.49
23.216,-20.863,-11.765
24.471,-16.941,-10.039
27.294,-11.137,-7.373
27.765,-10.51,-7.059
27.294,-14.902,-4.549
28.078,-15.059,-5.176
29.49,-12.706,-4.392
29.49,-10.667,-3.765
28.392,-10.51,-2.98
28.078,-11.451,-3.608
27.137,-11.922,-4.549
8.627,-17.098,0.627
6.275,-15.686,-0.157
-31.843,-15.216,16.627
-39.843,-13.176,-0.784
-2.98,-23.216,-8.784
14.902,-40.784,1.725
15.216,-35.294,-9.098
12.706,-21.02,-11.608
6.745,-4.706,-10.824
5.647,-15.059,0.941
5.647,-18.98,-0.314
-0.627,-16.627,0.314
-0.784,-12.863,-2.51
-0.627,-3.137,-0.784
-0.941,-0.471,0.941
2.039,-4.392,0.784
2.51,-7.843,1.882
2.824,-11.608,1.412
2.667,-10.196,-1.569
1.569,-9.569,-1.882
0.314,-9.098,-2.353
-0.314,-9.098,-2.353
-0.941,-10.196,-2.98
-1.098,-10.824,-3.137
-1.412,-11.137,-3.451
-1.882,-11.765,-3.608
-2.667,-10.98,-3.765
-2.824,-10.353,-3.608
-3.137,-8.471,-3.608
-3.765,-7.373,-3.451
-2.98,-7.059,-3.765
-3.137,-6.902,-3.922
-2.824,-7.686,-3.608
-1.412,-8.941,-2.98
-0.941,-9.725,-2.98
0,-10.039,-2.353
0.471,-10.039,-1.725
0.784,-9.569,-1.098
1.098,-9.412,-0.627
0.941,-9.412,-0.627
0.471,-9.255,-0.627
0.784,-9.569,-0.627
0.471,-9.725,-1.255
0.314,-9.725,-1.725
-0.314,-10.039,-1.412
-0.471,-10.039,-1.412
-1.412,-10.196,-1.255
-1.255,-10.353,-1.569
-2.039,-10.353,-1.412
-0.941,-10.353,-0.784
-0.471,-10.824,-0.627
-1.412,-10.824,-0.471
-1.098,-10.98,0.627
-0.627,-10.98,1.412
