accX,accY,accZ
-8.314,-5.02,-2.98
-8.627,-5.647,-2.98
-8.157,-7.373,-2.98
-7.059,-9.412,-3.294
-6.902,-10.039,-3.294
-6.431,-11.451,-2.98
-6.431,-11.922,-2.98
-6.745,-12.863,-3.137
-6.431,-13.176,-3.451
-6.902,-15.059,-3.608
-6.745,-16.314,-4.392
-5.02,-19.294,-4.863
-3.765,-20.392,-4.549
-0.941,-22.588,-4.392
0.471,-24,-3.608
0.627,-23.686,-3.451
0.157,-23.686,-3.765
0.157,-24.471,-3.294
1.725,-26.353,-2.98
3.608,-27.137,-3.137
7.373,-26.667,-3.294
8.627,-25.569,-3.765
9.569,-22.745,-5.333
11.294,-21.49,-4.863
12.863,-21.647,-4.235
17.098,-21.333,-3.765
19.294,-20.706,-4.235
21.647,-19.451,-4.549
20.549,-19.451,-4.549
16.471,-19.451,-4.706
15.529,-18.98,-4.863
14.118,-19.765,-10.196
15.686,-20.078,-6.588
-0.471,-19.765,5.02
-47.529,-16.314,6.275
-41.725,-12.235,-2.824
2.667,-19.922,-3.451
13.804,-30.745,-3.137
12.863,-24.471,-0.784
10.196,-10.51,-5.961
-6.588,4.235,-18.667
-11.294,2.353,-12.706
-1.255,-18.196,8.157
3.451,-19.294,3.451
3.294,-12.549,-5.804
0,-9.882,-0.627
-2.51,-10.039,0.627
-3.451,-8.314,-1.569
-3.137,-8.157,-2.196
-3.608,-9.882,-1.255
-3.294,-10.196,-1.569
-3.137,-10.196,-1.725
-3.451,-10.51,-1.255
-4.078,-10.353,0.627
-4.392,-9.255,-0.627
-4.392,-8.941,-2.353
-3.451,-8.941,-3.922
-2.98,-9.255,-3.608
-3.294,-8.471,-3.922
-4.392,-7.686,-4.235
-5.961,-7.059,-4.078
-6.118,-7.216,-3.608
-5.333,-8,-3.294
-4.706,-7.686,-3.137
-4.863,-7.373,-2.039
-5.176,-7.216,-1.882
-5.02,-7.059,-1.882
-4.392,-7.373,-2.196
-3.608,-7.686,-2.353
-3.608,-7.686,-2.667
-3.451,-7.216,-2.667
-4.078,-7.686,-3.137
-3.922,-7.843,-3.294
-4.549,-8,-3.451
-3.765,-8.941,-3.765
-3.451,-8.941,-3.451
-2.196,-9.255,-2.98
-1.882,-9.882,-2.51
-1.725,-10.667,-0.627
-2.196,-10.98,-1.255
-1.882,-10.824,-1.882
-2.039,-10.824,-1.255
-2.824,-11.294,-0.941
-2.98,-11.137,-0.941
-2.98,-11.294,-1.412
-2.98,-11.765,-1.412
-3.765,-11.922,-1.725
-4.392,-12.392,-2.353
-4.706,-12.706,-2.196
-4.706,-13.647,-1.725
-4.549,-13.647,-1.412
-5.176,-13.804,-1.725
-5.333,-13.804,-1.569
-5.176,-13.647,-1.882
-5.333,-14.118,-1.882
-6.275,-14.745,-1.882
-8.314,-16,-1.255
-10.039,-16.784,-1.255
-15.373,-20.235,0.784
-19.608,-22.588,2.51
-25.882,-19.922,-5.961
-26.039,-16.157,-12.549
-22.431,-13.02,-12.706
-18.039,-15.686,-9.882
-4.863,-19.922,-7.529
-5.49,-22.431,-5.804
-12.392,-18.353,-7.373
-21.804,-12.863,-10.824
-22.275,-15.843,-6.902
-9.412,-16.471,-8.784
-3.922,-13.176,-12.078
6.275,-6.902,-7.843
4.706,0,-6.431
-13.49,-1.412,-6.275
-18.196,-1.882,-0.627
-18.51,0.941,3.451
-11.451,3.765,-0.627
-8.784,3.765,-0.471
-2.196,3.922,-0.471
-2.196,4.078,-1.412
-5.333,1.569,-2.039
-6.431,0.471,-1.098
-8.627,-0.314,-0.157
-8.627,-0.784,-0.471
-8.941,-0.157,-1.725
-8.314,-0.941,-2.353
-8,-1.882,-2.196
-8.784,-4.706,-1.725
-8.314,-6.431,-1.412
-7.373,-8.941,-1.412
-7.373,-9.569,-1.882
-7.216,-10.51,-2.039
-7.216,-10.98,-2.039
-7.529,-12.863,-2.98
-7.216,-13.804,-3.608
-6.275,-16.784,-4.549
-5.333,-20.706,-4.863
-4.863,-23.059,-5.333
-2.98,-28.392,-4.549
-1.569,-31.216,-3.765
-0.157,-35.608,-4.549
1.098,-35.451,-5.333
3.922,-32.314,-6.118
5.02,-30.745,-7.059
7.529,-27.608,-10.98
8.627,-25.882,-13.961
11.294,-23.529,-17.882
15.529,-23.216,-15.686
19.451,-24,-12.706
27.294,-22.902,-8
29.333,-20.863,-7.059
24.471,-20.549,-3.608
20.549,-21.333,-3.137
18.039,-20.549,-5.647
16.941,-19.765,-7.843
13.804,-17.569,-9.725
3.294,-20.392,-4.863
-5.176,-20.078,3.922
-40.941,-9.412,16.941
-61.647,-2.98,11.765
-33.255,-2.196,-2.039
-1.255,-15.216,-4.863
27.137,-36.392,-1.255
22.902,-34.039,-6.275
11.451,-7.843,-30.902
2.353,0.941,-35.765
-10.353,-8,4.706
-2.667,-26.51,6.275
0.471,-16.314,1.725
1.882,-5.49,-10.039
5.02,-8.314,-5.49
-1.569,-13.333,0.941
-2.353,-10.98,-0.314
-4.235,-5.49,-3.294
-4.863,-6.118,-2.353
-3.922,-9.569,-0.627
-3.294,-10.667,-2.98
-3.922,-10.98,-3.451
-6.588,-10.98,-0.784
-6.902,-10.51,0.314
-5.49,-8.471,-1.725
-4.863,-6.902,-3.922
-3.608,-6.275,-4.235
-3.608,-7.216,-3.294
-2.98,-8.941,-3.451
-3.451,-9.098,-3.294
-5.02,-8.627,-2.51
-5.176,-8,-2.196
-4.863,-8.157,-2.196
-4.235,-8.314,-1.882
-3.608,-8.157,-1.569
-3.294,-7.373,-0.941
-3.137,-7.373,-0.471
-2.98,-7.686,-1.412
-2.98,-7.843,-2.667
-1.882,-9.098,-1.098
-2.039,-10.353,0.784
-2.039,-10.824,0.314
-2.039,-10.51,-0.471
-2.51,-10.98,-0.627
-3.137,-10.98,-0.314
-2.98,-10.667,-1.412
-2.51,-10.039,-2.667
-2.353,-9.882,-2.039
-2.196,-9.882,-1.098
-2.353,-9.882,-1.098
-2.667,-10.353,-1.255
-3.294,-10.98,-2.039
-3.608,-11.608,-2.667
-3.922,-12.392,-2.98
-3.765,-12.863,-2.51
-4.235,-13.49,-1.725
-4.392,-13.804,-1.098
-5.176,-13.49,-1.412
-5.176,-13.647,-1.725
-5.804,-14.118,-1.569
-5.961,-14.431,-1.569
-6.588,-14.745,-2.667
-8.314,-16.314,-1.569
-9.569,-17.255,-0.157
-15.216,-19.765,-0.157
-19.294,-20.078,-3.608
-24.157,-19.922,-9.412
-25.412,-17.569,-13.02
-24.627,-11.137,-18.196
-20.235,-11.765,-13.804
-7.059,-19.922,-5.647
-5.49,-20.706,-3.451
-10.353,-14.745,-9.098
-13.49,-10.98,-11.294
-8.627,-15.843,-5.647
1.412,-17.725,-8.941
-0.941,-13.49,-8.941
-11.922,-5.176,-10.039
-18.51,-0.784,-8.627
-23.373,5.333,-1.882
-20.078,5.176,1.255
-10.51,3.765,1.725
-4.706,2.51,-0.784
-4.863,2.824,-1.882
-7.529,2.51,-2.667
-8.314,1.882,-1.882
-9.098,0.471,0.157
-8.784,-0.471,0.314
-7.529,-1.569,-0.157
-7.059,-2.98,-0.157
