accX,accY,accZ
2.039,-12.863,-1.098
2.196,-12.863,-1.569
2.51,-13.49,-1.882
2.98,-13.961,-1.882
2.98,-14.588,-2.196
2.824,-14.745,-1.882
1.882,-15.059,-1.882
1.569,-15.216,-2.353
2.039,-15.529,-2.667
2.51,-14.745,-3.922
2.98,-15.373,-4.235
3.608,-15.843,-5.49
2.667,-17.098,-5.804
1.882,-19.137,-7.059
1.098,-20.549,-8.157
0.784,-20.549,-9.569
-0.941,-22.431,-10.667
-1.412,-23.059,-10.98
-2.196,-24.627,-11.294
-3.608,-25.569,-10.51
-3.922,-24.627,-7.373
-2.51,-22.431,-7.529
0,-19.137,-6.588
-2.039,-17.412,-8.471
-2.196,-12.078,-11.451
4.235,-9.412,-5.961
4.706,-8.784,-5.647
4.235,-7.373,-9.255
1.882,-5.176,-9.412
1.098,-6.588,-3.608
-0.157,0.314,-4.078
3.294,-0.941,0.941
4.235,-4.863,-0.157
-0.784,-0.941,-4.706
-2.667,1.412,-7.059
-2.98,2.51,-7.529
-6.588,2.51,-4.235
-7.686,1.255,-2.51
-7.059,0.941,-3.608
-6.275,2.51,-4.235
-4.706,3.922,-4.392
-5.333,2.98,-3.765
-6.745,0.784,-2.667
-6.118,0,-2.824
-4.863,-1.098,-2.667
-3.765,-2.353,-2.353
-3.451,-3.137,-2.039
-2.824,-4.392,-2.51
-2.824,-5.176,-2.824
-2.667,-5.804,-3.608
-2.196,-6.118,-4.078
-1.255,-7.843,-4.863
-0.941,-8.784,-5.647
-0.157,-10.667,-5.333
0.314,-11.765,-5.49
1.412,-13.647,-5.49
2.196,-16,-5.804
1.882,-17.569,-5.647
2.039,-20.235,-4.235
2.353,-21.804,-3.765
5.176,-24.471,-2.353
6.588,-24.471,-0.471
11.765,-26.039,-0.784
11.765,-27.451,0.784
12.549,-26.51,-0.314
16.157,-23.686,-1.098
17.725,-23.216,0.627
21.49,-23.529,2.667
23.059,-22.902,4.235
26.51,-20.235,6.745
27.608,-19.922,8
24.314,-21.333,13.333
20.078,-21.961,18.196
10.98,-20.235,21.02
8.471,-19.451,20.706
6.431,-18.824,18.353
6.431,-18.667,16
7.373,-17.882,6.588
-2.824,-2.196,-20.706
-16.471,3.922,-45.49
-21.961,-17.098,-11.608
-9.412,-40.784,26.824
7.843,-25.725,20.392
10.824,-19.608,-0.627
0.627,-11.137,-7.843
2.196,-12.706,1.098
-0.314,-9.882,0.314
-3.294,-3.294,-7.216
0,-0.471,-8.314
10.039,-2.353,-7.216
14.118,-7.529,-4.078
5.333,-15.059,-0.157
-1.255,-11.765,-1.412
3.765,-10.039,-1.569
5.02,-10.824,-1.098
4.235,-11.765,0.941
-0.471,-11.294,1.725
-2.51,-9.569,1.255
-3.608,-7.216,0.784
-2.824,-8.157,-1.098
2.51,-9.569,-4.392
3.765,-9.255,-2.98
2.98,-8.314,-1.569
2.98,-8.471,-1.882
2.824,-8.941,-2.98
3.137,-8.941,-2.667
2.824,-8.471,-2.51
1.569,-8.627,-2.51
1.569,-8.784,-2.039
1.255,-9.569,-1.569
1.412,-9.725,-1.725
1.882,-9.882,-2.353
2.039,-9.725,-2.51
1.882,-9.882,-2.353
1.569,-9.725,-2.51
1.255,-9.725,-2.51
1.412,-9.882,-2.353
1.098,-10.039,-2.353
1.569,-10.196,-2.353
1.569,-10.353,-2.039
0.471,-10.51,-2.353
0.627,-10.196,-2.353
1.098,-10.196,-2.667
1.255,-10.039,-2.667
2.039,-10.196,-2.196
1.412,-10.824,-1.098
1.255,-11.294,-1.412
1.882,-11.294,-1.882
2.196,-11.451,-2.196
2.353,-12.235,-2.039
2.039,-12.235,-1.255
1.412,-12.392,-0.941
1.412,-12.549,-0.784
1.569,-13.333,-1.725
1.569,-13.647,-1.882
1.569,-13.647,-1.412
0.784,-14.118,-1.255
1.098,-14.431,-1.725
1.098,-14.275,-1.882
0.784,-14.431,-2.353
1.569,-14.275,-3.451
2.039,-14.118,-4.235
2.196,-14.588,-5.49
2.667,-14.902,-6.118
2.353,-17.412,-7.216
1.098,-20.078,-9.255
0.784,-20.078,-10.196
0.627,-21.804,-11.608
0.471,-22.745,-11.608
-1.255,-25.098,-13.333
-2.039,-25.098,-13.804
-1.412,-23.373,-8.627
0.784,-21.49,-6.902
-0.627,-18.824,-7.216
-2.039,-14.902,-8.314
0,-12.549,-7.216
10.824,-8.157,-4.078
10.824,-8.314,-5.333
5.647,-10.196,-5.333
9.098,-8,-2.353
-0.157,4.235,-8.157
-0.627,-0.941,-4.706
-3.137,-5.02,-4.706
-4.392,-1.255,-7.686
-1.569,3.765,-9.569
-3.294,3.922,-7.529
-5.647,2.98,-5.804
-7.216,1.098,-3.294
-6.431,1.569,-3.294
-5.49,1.882,-3.294
-5.176,1.882,-3.294
-5.176,0.941,-3.294
-4.863,0.314,-3.137
-5.49,-0.784,-3.137
-5.647,-2.196,-2.51
-5.176,-3.137,-2.51
-4.706,-4.863,-2.51
-4.235,-5.333,-2.98
-2.824,-5.961,-3.765
-2.51,-6.118,-4.235
-1.882,-6.745,-5.333
-1.412,-7.373,-5.176
-0.941,-9.098,-5.49
-0.627,-9.882,-5.176
-0.157,-11.765,-5.176
-0.314,-13.647,-5.176
0,-14.431,-5.49
0.471,-17.569,-5.333
0.941,-18.98,-4.863
2.353,-21.333,-3.765
4.235,-22.588,-3.451
9.725,-23.686,-3.608
10.667,-25.098,-2.98
12.235,-26.824,-2.667
14.275,-24.784,-1.882
15.686,-24.314,-1.569
18.98,-25.882,0.784
19.608,-25.569,2.824
20.863,-24,6.275
21.647,-22.275,7.373
22.275,-21.176,10.039
21.961,-21.647,11.922
18.039,-21.804,17.569
14.588,-21.176,19.922
9.412,-19.451,21.02
6.745,-18.039,20.078
5.961,-18.039,19.294
6.118,-17.255,16.157
5.804,-19.451,11.294
3.608,-4.706,-13.647
-2.196,2.824,-32.157
-19.608,7.373,-57.569
-11.765,-24.784,4.706
-5.333,-46.431,36.549
5.961,-19.451,-5.49
1.569,-10.039,-6.902
6.118,-10.039,-3.765
2.98,-8.627,-1.725
-0.784,-5.647,-6.118
-0.784,-2.51,-7.216
7.059,-1.725,-3.294
12.549,-7.216,-1.725
9.255,-15.059,-0.157
2.824,-12.235,-2.98
3.451,-8.627,-2.039
5.647,-12.392,0.627
4.706,-12.706,0.157
-0.314,-9.882,-1.412
-0.627,-8.157,-0.941
-1.255,-7.216,1.098
-1.725,-7.373,0.157
0.471,-9.882,-3.294
2.039,-10.196,-2.51
3.608,-8.784,-1.725
