accX,accY,accZ
-4.392,-7.373,-3.137
-3.608,-7.843,-3.451
-2.51,-8.627,-3.608
-2.039,-8.784,-3.294
-2.353,-8.941,-3.608
-2.667,-8.941,-3.137
-2.824,-8.941,-3.137
-2.98,-8.784,-3.294
-2.98,-8.784,-3.294
-3.137,-8.471,-3.137
-3.451,-8.471,-3.608
-3.137,-8.627,-4.078
-3.137,-8.627,-4.078
-2.824,-9.098,-3.922
-2.824,-8.941,-5.02
-4.549,-9.098,-4.549
-2.196,-9.882,-3.137
-1.882,-9.882,-4.863
-2.51,-9.255,-4.549
-2.51,-9.569,-3.765
-2.353,-9.882,-4.078
-3.294,-10.196,-4.549
-3.765,-10.667,-4.863
-4.078,-10.824,-5.49
-4.235,-11.608,-5.647
-3.922,-11.765,-5.961
-3.137,-12.706,-5.961
-2.353,-13.333,-5.49
-1.098,-15.843,-4.706
-1.098,-18.667,-3.922
-3.608,-22.275,-4.078
-5.49,-23.216,-2.667
-8.784,-24.314,3.451
-13.176,-20.863,5.176
-13.804,-19.294,4.392
-11.765,-17.725,0.941
-10.51,-15.843,-3.765
-8.157,-16,-8.314
-7.216,-19.765,-8.941
-10.196,-18.667,-8.471
-12.078,-16.784,-5.333
-15.373,-12.549,-1.412
-16.627,-9.255,0
-13.804,-7.373,-1.569
-2.353,-4.078,-9.569
0.471,-1.255,-11.451
3.137,-2.667,-9.412
-3.137,-5.176,-6.431
-7.373,-7.216,0.627
-7.059,-5.647,2.196
-4.078,-5.02,5.333
-3.608,-5.49,5.49
-2.039,-4.235,4.235
-0.941,-3.137,2.667
-0.314,-2.98,2.353
-0.471,-3.608,0.471
-0.314,-4.706,0
-1.412,-6.118,0
-1.098,-6.588,0.627
-0.471,-7.686,2.039
-0.471,-7.529,2.039
-1.412,-6.588,0.627
-0.784,-8.471,-0.314
-1.725,-8.314,-0.314
-1.255,-9.098,-1.882
-1.412,-10.039,-2.51
-2.196,-10.824,-3.137
-2.667,-10.667,-3.294
-3.765,-11.137,-3.294
-3.922,-11.137,-3.294
-4.549,-11.608,-4.392
-4.706,-12.235,-5.02
-5.333,-13.176,-5.49
-5.804,-14.275,-6.431
-5.804,-14.902,-6.745
-6.118,-16.627,-7.686
-6.275,-17.569,-8.314
-6.745,-19.451,-10.039
-6.431,-20.235,-10.824
-4.863,-21.176,-13.804
-4.863,-20.549,-15.373
-6.431,-17.882,-17.725
-7.843,-16.627,-17.882
-2.51,-16.471,-19.765
-0.941,-10.51,-23.216
0.314,-7.529,-23.843
6.745,-4.392,-24.314
8.784,-3.765,-24.941
9.098,-2.039,-25.569
8.157,-0.314,-25.569
7.843,0.157,-25.412
7.059,-0.627,-24.941
2.98,-2.353,-22.431
-0.157,-4.863,-20.235
-0.784,-5.804,-18.824
-7.059,-15.686,-3.922
-12.706,-21.804,13.49
-33.255,-37.02,53.176
-14.431,6.275,10.98
9.882,-0.941,-24.627
7.843,-25.569,-16.157
1.255,-27.137,-16.627
0.471,-19.451,-3.765
-2.039,-5.961,0.471
-6.431,-4.235,-0.627
-12.078,0.941,-12.863
-0.471,-13.02,-8
2.51,-17.725,-5.804
-0.314,-11.451,-8
0.314,-10.353,-6.275
-1.882,-10.196,-3.451
-2.039,-8.784,-2.039
-2.824,-7.373,-3.137
-3.451,-8.157,-3.294
-1.412,-9.255,-3.451
-1.569,-9.725,-3.608
-1.412,-10.039,-2.824
-1.412,-10.196,-2.667
-2.196,-10.039,-2.667
-3.451,-9.882,-3.137
-3.137,-10.039,-2.98
-3.137,-8.784,-2.353
-2.667,-8.471,-2.98
-2.98,-7.843,-3.765
-3.765,-7.686,-3.765
-3.922,-8,-4.078
-3.608,-8,-3.922
-3.922,-7.843,-3.765
-4.078,-8.314,-3.608
-4.235,-8.314,-3.765
-4.078,-8.314,-3.922
-4.078,-8.471,-3.451
-3.451,-8.157,-3.922
-2.98,-8.471,-3.608
-2.667,-8.314,-3.922
-2.667,-8.314,-3.922
-2.824,-8.471,-3.922
-3.137,-8.471,-3.922
-2.98,-8.471,-4.078
-2.98,-8.471,-4.078
-2.98,-8.314,-3.922
-3.294,-8.314,-3.922
-3.608,-8,-3.922
-2.667,-8.627,-3.608
-2.353,-8.941,-3.608
-2.353,-8.784,-3.608
-2.51,-8.941,-3.608
-2.196,-9.255,-3.765
-2.353,-9.412,-4.078
-2.51,-9.255,-4.078
-3.137,-9.412,-3.922
-3.137,-9.098,-3.922
-2.824,-9.098,-3.922
-2.824,-9.412,-3.294
-2.824,-10.824,-4.549
-3.922,-10.51,-4.078
-3.137,-10.824,-3.922
-3.294,-11.294,-5.176
-2.824,-12.392,-4.706
-4.235,-11.608,-5.647
-4.235,-12.078,-4.706
-2.824,-12.863,-4.706
-3.137,-13.49,-4.549
-4.078,-14.431,-3.765
-4.235,-15.843,-3.137
-3.137,-22.118,-0.157
-4.078,-27.765,-0.471
-5.804,-28.078,0.471
-9.412,-24.941,5.49
-10.353,-21.49,4.549
-11.765,-14.588,-1.412
-15.373,-11.294,-6.745
-11.137,-20.706,-5.647
-14.745,-21.333,-7.059
-15.059,-18.353,-5.49
-16,-14.118,1.098
-16.784,-14.431,2.667
-15.216,-11.294,-3.294
-11.451,-7.843,-10.353
-1.569,-2.824,-12.706
4.392,-3.137,-12.235
-2.824,-8.157,-7.843
-5.02,-10.51,-2.353
-5.333,-7.843,2.824
-5.176,-5.647,3.922
-3.765,-5.49,4.235
-3.294,-5.49,5.02
-3.294,-5.804,5.49
-2.039,-4.235,2.667
-1.569,-3.451,2.196
2.51,-2.353,1.725
-2.98,-2.353,-0.784
-3.608,-5.02,1.412
-2.667,-4.706,1.569
-3.137,-5.804,2.039
-2.51,-6.118,0.784
-1.569,-6.275,0.627
-3.294,-8.471,-1.255
-2.824,-8.471,-1.882
-2.196,-9.725,-2.667
-1.882,-10.353,-2.824
-1.725,-11.137,-3.137
-1.882,-11.294,-3.294
-2.196,-12.235,-3.608
-2.51,-12.863,-4.235
-2.51,-14.588,-5.804
-2.824,-17.569,-6.275
-2.98,-18.667,-7.216
-3.451,-20.392,-8.471
-3.922,-21.02,-9.569
-4.392,-22.275,-11.608
-4.078,-22.588,-12.706
-3.922,-22.745,-15.373
-3.765,-22.118,-16.941
-6.118,-19.137,-20.706
-7.373,-17.569,-21.49
-4.078,-18.039,-19.608
7.216,-14.745,-25.725
8.784,-11.294,-29.02
11.608,-2.98,-29.961
14.275,0.471,-29.02
13.176,2.353,-30.275
11.294,1.412,-30.275
9.882,-0.784,-27.922
8.314,-1.725,-25.725
3.765,-4.706,-21.804
0.784,-8.157,-18.824
0.314,-9.412,-17.255
-16.784,-29.961,20.863
-27.922,-42.353,43.137
-20.549,6.275,22.431
4.863,10.196,-21.647
11.608,-30.275,-18.353
2.98,-42.667,-20.706
-1.569,-20.549,-7.843
-7.373,-8.314,-4.235
-8.471,0.941,-2.51
-11.608,-1.098,-13.804
-4.235,-8.471,-10.353
4.549,-17.412,-10.824
2.196,-13.49,-10.353
2.98,-12.078,-5.333
2.039,-11.922,-3.608
-0.627,-7.843,-2.353
-2.039,-8,-2.667
-2.51,-9.569,-2.667
-0.784,-9.882,-3.608
-0.314,-10.039,-4.078
-0.471,-10.98,-2.98
-0.941,-10.353,-2.667
-2.98,-9.725,-2.824
-3.922,-9.569,-2.98
-3.451,-9.569,-3.137
-2.824,-9.412,-2.98
-1.882,-8.941,-2.98
-2.196,-8.627,-3.137
-2.51,-8,-3.608
-3.608,-7.843,-4.078
-4.078,-8,-3.922
-4.706,-7.843,-3.451
-5.333,-7.216,-4.235
-5.804,-7.216,-3.451
-5.176,-7.216,-3.294
-4.078,-7.686,-3.608
-3.765,-7.686,-3.294
-3.451,-8.471,-3.765
-3.451,-8.471,-3.608
-3.608,-8.784,-3.608
-3.294,-8.627,-3.765
-2.98,-8.471,-3.765
-2.51,-8.471,-3.608
-2.667,-8.627,-4.078
-3.137,-8.471,-3.922
-3.294,-8.314,-3.608
-3.451,-8.471,-3.922
-3.137,-8.627,-3.765
-2.196,-9.098,-4.078
-1.725,-9.882,-4.078
-1.255,-9.725,-4.078
-1.569,-10.196,-3.608
-2.039,-10.196,-4.078
-2.98,-10.196,-3.922
-3.294,-10.196,-3.922
-3.765,-10.196,-3.451
-3.765,-10.353,-3.451
-3.765,-10.667,-3.765
-3.922,-10.667,-3.922
-4.235,-11.451,-4.235
-4.235,-11.765,-4.235
-3.765,-12.078,-4.235
-3.922,-13.176,-4.078
-4.392,-13.49,-3.765
-5.02,-13.804,-3.451
-5.49,-14.275,-2.667
-5.804,-15.373,-1.412
-5.647,-16.471,-0.471
-5.333,-21.804,3.451
-6.118,-28.863,2.667
-8.627,-29.333,2.51
-11.765,-17.569,-2.353
-15.686,-12.078,-5.333
-15.686,-12.549,-8.627
-16.941,-17.098,-6.902
-16.784,-25.569,-0.627
-15.686,-22.431,-1.412
-13.49,-16.784,2.196
-14.431,-13.02,-1.412
-7.059,-10.196,-12.078
-1.412,-9.255,-15.373
-0.471,-11.451,-11.922
-11.451,-14.588,-3.294
-11.922,-16.314,1.882
-9.412,-8.627,5.961
-8.627,-5.49,7.529
-5.647,-3.137,7.059
-3.765,-2.824,6.275
-2.824,-4.235,4.392
0.941,-4.549,2.039
-1.725,-5.333,0
