accX,accY,accZ
5.49,-4.706,-0.471
5.176,-4.863,-0.471
4.706,-5.647,-0.471
4.235,-5.961,-0.471
2.824,-6.902,-0.627
2.353,-7.373,-0.471
1.569,-8.314,-0.784
1.569,-9.098,-0.941
0.627,-10.039,-1.412
0.157,-11.608,-1.569
-0.314,-12.235,-2.196
-1.569,-13.49,-2.667
-1.569,-14.431,-2.824
-1.882,-16,-3.765
-2.039,-17.255,-4.078
-3.294,-19.451,-4.863
-4.235,-20.235,-5.176
-5.804,-22.431,-5.49
-8.471,-23.059,-5.647
-9.412,-23.529,-5.333
-12.078,-24,-4.235
-13.647,-23.529,-3.608
-14.588,-21.49,-3.608
-14.745,-20.706,-3.608
-16.784,-20.235,-3.608
-25.569,-18.667,-2.824
-28.549,-14.431,-2.196
-32.784,-8.471,1.882
-33.882,-7.216,4.863
-31.216,-7.059,7.216
-29.02,-7.843,6.431
-26.667,-8.784,3.608
-25.412,-8.784,2.196
-18.196,-13.176,-2.667
7.373,-17.098,-5.961
43.294,-24.784,-14.431
77.804,-42.51,11.765
9.725,-14.588,10.98
-51.922,-14.275,-5.961
-21.02,-20.549,4.392
-7.686,-7.373,1.882
-4.549,-5.647,-6.118
-5.647,-7.686,-3.922
-3.294,-10.039,-2.824
-0.627,-11.294,0
-1.255,-8.314,-3.451
-2.51,-8.471,-4.078
-7.529,-9.412,-1.725
-8,-8.314,-2.196
-4.078,-9.569,-1.098
-3.451,-10.196,-1.255
-3.451,-10.196,-1.098
-3.608,-9.882,-0.157
-3.608,-9.255,0
-2.196,-8.627,-0.157
-1.098,-8.941,-0.471
0.941,-9.725,-1.255
1.882,-9.725,-1.412
1.882,-10.353,-2.51
0.471,-10.51,-3.922
0.314,-9.725,-4.392
-0.784,-8,-3.922
-1.255,-7.843,-3.765
-2.353,-8.157,-3.451
-2.667,-8.784,-3.137
-2.98,-9.098,-2.824
-2.98,-9.255,-1.725
-2.196,-8.941,-1.569
-0.471,-9.098,-1.569
0,-9.412,-1.882
0.314,-9.569,-2.039
0,-9.882,-1.882
-0.784,-9.725,-2.51
-0.627,-9.569,-2.667
-0.941,-9.098,-3.137
-1.569,-8.941,-2.98
-1.882,-8.941,-2.824
-1.725,-9.098,-2.353
-1.725,-9.255,-2.039
-1.569,-9.412,-1.882
-1.412,-9.412,-1.569
-1.098,-9.412,-1.412
-0.941,-9.569,-1.255
-0.784,-9.569,-1.569
-0.784,-9.569,-2.039
-0.941,-9.725,-1.882
-1.569,-9.882,-2.039
-2.353,-10.039,-1.882
-3.137,-10.196,-2.667
-3.451,-10.51,-2.98
-4.549,-10.196,-4.706
-3.765,-11.451,-3.137
-3.608,-11.294,-3.765
-2.51,-11.137,-2.196
-2.039,-11.765,-0.941
-2.196,-13.02,0
-1.882,-13.02,0
-2.039,-13.333,-0.314
-2.667,-13.804,-0.627
-3.451,-14.431,-1.569
-3.451,-14.275,-2.667
-3.451,-14.275,-2.98
-3.137,-14.118,-3.294
-2.667,-14.275,-3.451
-1.882,-14.902,-4.078
-1.098,-16.157,-3.922
-0.157,-19.137,-6.118
0.157,-18.353,-7.686
1.725,-17.255,-7.529
1.569,-17.882,-9.569
1.882,-18.196,-10.196
1.412,-18.196,-12.392
1.098,-17.569,-13.49
-4.863,-18.98,-8.314
-5.333,-19.922,-8.941
-0.157,-20.549,-9.725
2.98,-18.353,-12.863
5.02,-17.098,-11.922
6.588,-17.255,-7.216
5.804,-15.216,-6.431
-0.627,-12.706,-5.02
-2.353,-11.137,-3.294
-4.706,-4.078,1.882
-3.608,-1.569,6.745
8.627,-5.176,0.471
9.882,-6.745,0.157
10.667,-7.059,-1.412
9.098,-6.588,-2.98
7.059,-5.961,-2.824
5.176,-1.725,-2.196
3.922,-0.471,-1.569
3.451,-1.569,-1.255
2.98,-2.667,-0.471
2.353,-4.392,1.255
3.294,-5.176,1.725
4.078,-5.49,1.882
4.392,-6.275,2.353
3.765,-6.902,2.353
2.824,-8.314,2.98
2.039,-8.941,2.98
1.569,-9.725,3.294
0.941,-10.039,3.294
0.471,-10.353,3.765
0.627,-10.667,3.765
0.941,-10.824,3.608
1.255,-11.608,2.98
1.255,-12.078,2.51
0.314,-13.333,0.627
0.157,-13.647,-0.157
-0.157,-15.686,-1.569
-1.882,-18.039,-3.294
-3.137,-19.451,-3.765
-4.706,-20.549,-5.333
-5.49,-21.49,-5.49
-7.843,-23.529,-5.647
-9.569,-24.314,-5.647
-12.235,-25.725,-5.961
-14.275,-25.098,-5.804
-16.784,-23.216,-7.373
-20.235,-21.49,-9.412
-22.745,-21.804,-7.059
-28.392,-21.333,0.314
-32.157,-18.353,0.941
-31.373,-6.745,-0.784
-33.725,-4.078,0.784
-36.078,-5.647,2.51
-35.922,-6.431,1.412
-30.118,-7.843,0.784
-25.098,-8.314,0
-23.216,-9.255,-0.627
7.216,-22.431,2.039
31.843,-22.431,-7.529
80,-50.51,1.882
18.51,-21.647,11.765
-61.49,-15.373,-9.412
-23.529,-20.392,9.412
-16.627,-10.98,7.373
-0.471,-5.333,-2.98
0.471,-4.078,-5.647
-1.255,-5.804,-6.118
-2.196,-6.745,-5.804
-7.216,-8.471,-3.294
-7.843,-10.353,-3.137
-7.529,-10.51,-4.078
-5.647,-8.784,-2.51
-3.451,-8.941,-1.569
-2.039,-9.098,-1.569
-1.725,-8.941,-2.51
-0.471,-9.725,-1.412
-0.784,-10.353,-0.314
-1.569,-9.725,0.784
-1.412,-8.941,0.627
-0.471,-9.098,-0.784
0,-10.196,-2.039
0.157,-10.353,-2.196
-0.471,-10.51,-2.98
-1.412,-10.353,-3.608
-2.824,-8.784,-4.549
-2.98,-8.314,-4.549
-2.824,-8.157,-4.392
-2.98,-8,-3.922
-2.51,-8,-3.451
-0.784,-8.784,-2.196
-0.471,-9.255,-2.196
-0.471,-9.725,-2.353
-0.471,-10.039,-2.51
-0.314,-9.882,-2.667
-0.157,-9.882,-2.824
-0.784,-9.569,-2.51
-1.255,-9.255,-2.51
-1.255,-9.255,-2.51
-1.412,-9.412,-2.667
-1.412,-9.412,-2.824
-1.412,-8.941,-3.765
-0.941,-9.098,-2.98
-1.098,-10.039,-2.51
-0.941,-10.51,-1.412
-2.353,-9.882,-1.098
-2.039,-9.725,-1.098
-1.882,-10.353,-0.627
-2.667,-11.451,-0.784
-2.98,-11.451,-1.098
-3.137,-11.137,-1.725
-2.667,-11.922,-1.412
-1.882,-12.235,-1.255
-1.882,-12.392,-1.255
-1.882,-12.549,-1.098
-2.353,-12.863,-0.784
-2.51,-13.02,-0.784
-2.824,-13.49,-1.255
-2.824,-13.647,-1.569
-3.137,-13.961,-3.294
-2.98,-13.804,-4.235
-3.137,-13.804,-4.863
-2.51,-13.804,-5.804
-2.353,-13.647,-5.961
-1.569,-14.588,-4.706
-0.627,-16,-4.706
0.314,-18.667,-6.275
0.471,-18.667,-8.627
1.725,-19.608,-10.353
3.451,-19.922,-10.824
0.314,-19.137,-11.765
-2.039,-18.039,-12.235
1.725,-20.235,-10.196
1.725,-21.02,-8.157
0.627,-19.451,-10.51
1.569,-20.235,-10.98
3.137,-20.078,-9.412
2.353,-18.824,-6.431
-5.02,-14.118,-5.647
-3.608,-12.235,-4.863
0.314,-7.059,-0.157
1.098,-5.176,0.784
6.745,-8.627,-0.941
7.059,-7.686,-1.098
9.412,-6.118,-1.412
8.627,-6.118,-1.725
5.961,-3.922,-1.412
4.549,-0.941,-0.627
3.922,-0.471,-0.627
2.667,-1.882,0
2.353,-2.98,0.314
2.196,-4.078,1.098
2.824,-4.392,1.412
3.451,-4.235,0.941
3.765,-4.392,1.412
3.922,-5.49,1.882
3.765,-6.745,2.51
3.608,-7.373,2.667
3.294,-8.471,2.353
2.824,-8.784,2.51
1.725,-9.412,2.039
1.412,-9.882,2.039
1.098,-10.51,1.569
0.627,-11.451,1.412
0.471,-11.608,0.941
0.157,-12.549,0.627
0.157,-13.49,0.471
0.314,-15.373,-0.784
0,-16.314,-1.725
-0.471,-18.51,-3.294
-1.569,-19.922,-3.922
-3.765,-21.333,-5.647
-6.431,-23.373,-6.902
-8,-24,-6.588
-12.078,-25.255,-6.275
-13.961,-25.412,-6.275
-16.471,-23.686,-6.745
-16.941,-22.431,-6.431
-18.196,-21.961,-4.863
-20.235,-23.216,-3.137
-23.059,-22.275,-1.569
-30.275,-16.314,-2.353
-31.843,-10.824,-3.294
-40.157,-5.333,-0.314
-41.725,-5.333,1.569
-36.863,-6.118,2.039
-32.471,-6.902,1.255
-26.51,-8.471,-0.157
-23.059,-11.765,-5.176
-14.118,-18.353,-2.353
43.451,-28.863,-11.922
80,-48,-29.804
3.608,-12.706,7.686
-45.333,-11.294,-11.922
-30.275,-28.078,5.333
-15.843,-14.745,8.314
-4.235,-3.922,0.471
-2.039,-1.412,-10.51
-4.706,-1.098,-10.51
-7.373,-10.824,-0.471
-6.431,-12.392,-0.627
-5.02,-9.412,-2.98
-6.588,-9.882,-3.294
-5.961,-9.882,-3.608
-3.765,-8.784,-2.98
-1.412,-8.784,-1.255
-0.471,-9.412,-0.784
-0.784,-10.196,-0.784
-2.98,-10.51,-0.314
-2.51,-10.196,0.627
-1.882,-9.098,0.314
-0.784,-9.412,-0.157
1.098,-10.039,-1.255
0.627,-10.667,-2.824
-0.314,-10.98,-3.608
-2.51,-9.882,-5.333
-2.824,-8.941,-5.176
-1.725,-7.686,-4.392
-1.725,-7.529,-4.078
-1.255,-7.843,-2.353
-1.255,-8.471,-1.882
-0.784,-9.725,-1.412
-0.941,-9.725,-2.039
-0.784,-9.725,-1.882
-0.784,-9.882,-1.725
-0.941,-9.725,-1.725
-1.255,-9.412,-2.51
-1.412,-9.412,-2.196
-1.098,-9.725,-2.196
-1.255,-9.255,-2.51
-1.255,-9.098,-2.98
-0.627,-9.255,-3.137
-0.627,-9.725,-3.294
-1.412,-10.039,-3.137
-1.569,-10.51,-2.824
-2.196,-11.765,-2.196
-2.98,-12.235,-1.882
-2.824,-12.235,-1.255
-1.725,-11.765,-0.941
-1.569,-12.078,-0.627
-1.412,-12.863,-0.471
-1.098,-13.02,0
-0.471,-13.961,0.314
-1.255,-13.804,-0.471
-1.725,-14.275,-0.627
-2.824,-14.431,-1.255
-1.882,-15.216,-1.882
-2.51,-15.686,-2.98
-2.196,-15.216,-3.765
-1.725,-15.059,-5.804
-1.098,-15.059,-6.431
-0.314,-15.843,-6.902
0,-16,-7.686
2.51,-19.294,-6.588
4.078,-21.176,-11.137
3.137,-20.863,-11.922
5.176,-20.549,-12.706
4.549,-20.078,-13.176
-2.98,-20.392,-10.51
-4.078,-22.118,-5.804
0.941,-21.49,-9.725
3.608,-21.647,-11.294
9.255,-21.804,-8.627
11.137,-20.549,-7.529
6.588,-19.294,-6.745
-7.686,-13.804,-2.824
-7.059,-10.039,0.157
3.294,-6.902,-0.314
9.882,-9.412,-2.667
9.255,-10.51,-2.039
9.098,-9.725,-2.667
8.784,-7.686,-2.98
5.647,-3.765,-2.667
5.333,-1.412,-2.196
4.549,-0.157,-1.725
3.608,-1.098,-1.098
2.51,-3.922,-0.314
2.353,-4.392,0.471
2.196,-4.235,0.627
2.98,-4.392,-0.314
2.98,-4.863,0.157
2.824,-6.118,0.314
2.667,-6.588,0.627
2.51,-7.686,1.569
2.353,-8,1.412
2.039,-9.569,1.882
1.882,-10.039,1.412
1.412,-11.137,2.039
0.627,-11.608,1.882
0.784,-12.078,1.882
0.941,-12.863,1.098
0.627,-13.49,0.471
0.471,-14.902,-0.471
0.471,-16,-1.725
-1.569,-18.667,-2.98
-2.824,-19.922,-4.235
-4.706,-21.333,-5.49
-6.431,-23.216,-5.647
-7.686,-24.314,-5.333
-10.98,-26.667,-4.706
-12.863,-27.294,-4.392
-17.255,-27.137,-3.608
-18.353,-26.196,-3.451
-20.392,-25.725,-1.569
-24,-24.941,-1.098
-24,-21.961,-1.882
-30.902,-16.941,-1.882
-33.569,-11.294,-3.451
-40.941,-5.804,0.157
-42.353,-5.961,2.824
-38.745,-6.902,4.392
-34.824,-8,2.98
-29.333,-8.941,1.098
-28.706,-9.255,-1.412
-25.725,-13.647,-8.314
3.137,-18.039,-7.686
42.353,-29.647,-13.49
66.98,-44.863,16.471
0.471,-11.294,9.725
-61.333,-27.608,-3.765
-24.157,-31.059,-1.569
-7.059,-9.882,2.196
1.412,-5.961,-5.333
0.157,-4.235,-7.529
-3.765,-4.549,-0.784
-6.275,-2.196,-3.922
-6.745,-7.686,-0.314
-7.059,-11.294,0.157
-8.314,-11.294,-1.725
-3.922,-9.882,-1.882
-0.941,-9.255,-2.196
-1.255,-9.098,-2.196
-1.255,-9.725,-1.882
-0.941,-10.353,-1.098
-1.412,-10.039,-1.255
-2.196,-9.882,-0.471
-2.196,-9.569,-0.627
-1.255,-9.412,-0.784
-0.157,-10.196,-1.255
0.157,-10.196,-1.882
-0.941,-10.196,-3.294
-1.569,-9.725,-4.706
-2.667,-9.098,-5.49
-2.51,-8.784,-5.176
-2.353,-8.314,-4.706
-1.725,-8.157,-4.078
-0.941,-8.471,-3.294
-0.941,-9.255,-2.353
-0.941,-9.569,-2.039
-0.784,-9.412,-2.196
-0.471,-9.255,-2.51
-0.471,-9.569,-2.824
-0.471,-9.569,-2.824
-0.784,-9.412,-3.137
-0.627,-8.941,-3.294
-0.784,-9.098,-3.451
-1.098,-9.725,-3.922
-1.098,-9.569,-4.078
-1.725,-9.725,-4.078
-2.039,-9.882,-3.765
-2.196,-9.882,-2.353
-2.196,-10.353,-2.039
-2.824,-11.137,-1.882
-3.765,-12.235,-1.255
-3.294,-12.863,-0.941
-2.196,-12.706,-0.941
-1.412,-12.706,-0.471
0,-12.392,-0.314
0.157,-13.02,-0.314
-0.784,-13.49,-0.157
-1.098,-13.49,-1.098
-2.039,-14.275,-1.255
-2.196,-14.902,-2.039
-2.196,-15.059,-2.51
-2.039,-15.216,-4.706
-1.725,-15.373,-5.333
-0.941,-15.843,-7.059
-0.471,-15.686,-7.843
0.314,-16.314,-7.843
3.608,-19.137,-5.804
5.333,-21.49,-6.745
3.765,-23.216,-11.922
4.392,-22.275,-12.549
2.98,-22.275,-10.98
-0.157,-22.745,-9.882
0.627,-25.569,-3.765
1.882,-23.059,-7.373
4.706,-20.706,-11.608
9.412,-23.216,-8.784
