accX,accY,accZ
-2.51,-9.882,-2.353
-2.353,-10.039,-2.353
-2.039,-10.196,-2.196
-1.725,-10.039,-2.039
-1.412,-10.039,-1.882
-1.255,-10.51,-2.196
-1.412,-11.294,-2.51
-1.098,-11.451,-2.196
-1.569,-11.608,-2.667
-2.353,-12.078,-2.667
-2.039,-13.02,-2.196
-1.412,-12.863,-2.98
-0.784,-12.078,-3.137
-0.941,-12.392,-3.608
-0.941,-13.333,-3.765
-0.941,-13.02,-3.765
-0.627,-15.373,-3.765
-0.471,-14.745,-3.451
0,-17.725,-4.235
2.353,-20.706,-3.922
3.294,-21.804,-4.078
6.118,-24.784,-3.294
5.176,-26.039,-3.608
6.275,-26.353,-8
8.157,-24.314,-8.627
8.941,-20.235,-8.627
6.118,-19.922,-9.725
-2.039,-18.824,-9.569
-1.569,-20.392,-12.078
-0.314,-18.98,-9.412
0,-14.902,-4.078
-0.314,-14.431,-1.725
0.784,-13.333,-2.98
0.314,-12.235,-5.176
-0.157,-8.784,-3.451
-0.471,-4.549,-1.098
-3.294,3.137,-5.176
2.353,-2.824,-5.333
2.196,-4.549,-3.137
2.51,-2.667,-0.314
3.922,-2.196,0.627
5.804,-2.353,2.039
5.961,-2.196,1.725
6.588,-0.471,0.941
4.706,-0.157,0.157
3.922,-0.157,-0.941
4.392,-0.157,-1.882
4.706,-0.941,-1.882
4.706,-1.882,-1.569
4.706,-2.039,-1.412
2.824,-3.922,-0.627
2.196,-4.392,-0.627
3.765,-5.961,-2.667
2.98,-6.902,-1.098
3.451,-7.843,-1.255
2.51,-8.157,-1.725
1.569,-8.627,-1.882
-0.157,-9.882,-2.196
0.157,-10.039,-2.353
-1.098,-10.824,-2.353
-1.412,-11.765,-2.667
-1.098,-12.392,-3.137
-2.667,-14.275,-3.294
-2.667,-14.902,-3.294
-3.922,-17.255,-3.451
-5.49,-18.039,-3.765
-7.373,-18.824,-4.863
-7.843,-19.294,-5.647
-9.255,-19.294,-8.157
-10.824,-19.922,-9.255
-12.235,-20.549,-10.039
-15.686,-21.176,-11.451
-17.725,-21.176,-11.922
-20.078,-18.039,-11.137
-20.863,-17.412,-11.137
-24,-13.49,-9.569
-23.843,-10.98,-9.098
-21.961,-12.549,-9.255
-27.137,-9.412,-6.118
-29.176,-6.902,-5.49
-26.824,-6.275,-6.902
-23.686,-7.216,-6.902
-16.627,-9.882,-5.333
-15.686,-10.039,-4.863
-17.412,-9.725,-3.922
-12.549,-14.275,-5.02
-2.039,-16.784,-0.941
26.196,-19.608,0.941
40.157,-20.235,0.784
16.471,-8.314,0.627
0,-3.922,-17.725
-27.137,-14.588,-20.392
-31.059,-24.941,-12.863
-13.804,-30.745,0.941
-17.412,-1.569,-0.471
-11.608,0.941,8.627
3.137,-5.333,-2.51
-7.373,-11.765,-2.353
-6.745,-9.412,-1.569
-5.961,-9.725,-0.941
-1.725,-9.255,0
1.255,-9.882,-0.941
0.941,-11.922,-3.137
-2.51,-11.294,-4.078
-4.235,-10.824,-3.765
-3.137,-10.667,-1.569
-2.039,-10.98,-1.725
-2.51,-9.882,-5.647
-2.667,-9.725,-5.333
-0.941,-9.412,-3.451
0.627,-9.725,-4.392
0.314,-9.725,-4.706
-0.471,-10.353,-3.294
-0.471,-10.353,-3.294
-0.314,-10.51,-3.608
-0.471,-10.667,-3.451
-1.569,-10.196,-2.98
-2.039,-9.882,-2.98
-1.569,-9.412,-2.98
-0.471,-9.098,-2.667
-0.314,-9.255,-2.824
0,-8.784,-3.137
-0.471,-8.314,-3.294
-0.314,-7.686,-3.294
0,-7.529,-3.451
0.157,-6.431,-3.137
-0.314,-5.804,-3.451
-0.157,-5.804,-3.451
0.941,-5.49,-4.549
0.471,-5.961,-4.863
-0.471,-7.059,-4.863
-1.098,-7.686,-4.863
-1.569,-9.412,-4.235
-1.882,-9.725,-4.078
-2.824,-10.039,-2.98
-2.353,-9.882,-2.353
-2.824,-9.882,-2.667
-2.353,-10.039,-2.196
-2.353,-10.51,-2.039
-2.353,-10.824,-1.725
-1.882,-10.51,-2.039
-1.098,-11.608,-1.882
-2.51,-12.706,-2.824
-1.725,-11.765,-2.824
-2.039,-13.333,-3.608
-1.569,-14.431,-3.451
-0.314,-13.804,-3.765
-0.941,-14.118,-4.706
-0.941,-14.588,-4.235
-1.098,-14.431,-3.608
-0.314,-16.784,-4.235
0.627,-17.412,-4.549
1.255,-18.667,-5.02
2.824,-19.922,-5.176
3.765,-21.961,-4.706
6.118,-24.941,-3.922
8.627,-26.667,-3.608
12.706,-28.235,-4.549
6.745,-23.843,-8
1.098,-19.922,-10.98
7.373,-21.333,-10.667
7.059,-24,-12.863
0.784,-21.804,-7.529
-2.039,-21.333,-1.725
0.627,-18.98,-3.451
3.137,-17.569,-5.49
-2.039,-14.902,-2.353
-1.725,-12.863,-10.353
0.314,-11.294,-6.588
0.471,-0.784,-4.863
-0.941,2.51,-7.216
5.647,-6.118,-3.294
5.804,-7.373,-0.784
6.275,-3.608,1.412
7.686,-2.824,1.569
11.137,-3.608,2.98
9.725,-0.784,2.667
7.686,-0.314,2.039
5.49,-1.412,0.471
5.647,-1.569,0.157
5.176,-2.039,0.157
5.02,-2.824,1.098
4.392,-4.549,2.039
3.922,-6.588,2.667
4.078,-7.059,0.941
3.137,-7.373,1.412
2.98,-7.686,1.098
2.667,-8.314,0.471
2.51,-8.941,0.157
1.412,-10.196,-0.314
0.784,-10.824,-0.314
0,-11.922,-0.471
-0.941,-12.706,-0.314
-1.098,-13.49,-0.314
-1.412,-15.059,-0.941
-2.039,-16.157,-1.098
-4.078,-18.039,-1.255
-4.706,-18.667,-1.412
-5.49,-19.922,-2.51
-5.961,-20.863,-3.451
-6.118,-21.333,-4.392
-7.843,-21.804,-6.902
-8.941,-22.588,-7.686
-13.647,-23.216,-9.412
-16.314,-23.843,-9.882
-21.961,-22.275,-10.667
-22.745,-20.235,-10.196
-22.745,-17.882,-9.098
-26.353,-16.314,-9.098
-27.451,-13.333,-10.039
-32,-10.824,-7.686
-35.451,-9.255,-7.529
-36.549,-5.804,-7.373
-32.471,-5.333,-8.471
-22.745,-9.098,-8
-19.765,-9.725,-7.529
-14.902,-12.392,-14.275
3.765,-13.02,-5.02
18.196,-19.137,-0.941
36.549,-27.294,13.961
15.686,-21.961,15.529
