accX,accY,accZ
5.49,-2.51,-0.627
-0.314,-2.039,-3.451
4.392,-3.137,-5.333
10.824,-5.49,-5.176
9.412,-2.039,-2.98
8.784,-1.255,-2.039
8.157,-0.471,-1.412
7.373,-0.941,-1.098
6.275,-1.569,-0.314
5.804,-2.196,-0.471
5.49,-2.824,-0.627
5.02,-3.765,-0.471
4.863,-3.922,-0.627
3.922,-4.706,-0.784
3.451,-4.863,-0.941
2.51,-5.804,-1.412
2.039,-6.275,-1.569
1.569,-6.902,-2.196
1.255,-7.216,-2.353
0.941,-8.157,-2.353
0.157,-9.569,-2.51
-0.314,-9.725,-2.98
-1.098,-10.824,-2.667
-1.569,-11.608,-2.98
-2.353,-13.176,-2.824
-2.353,-13.804,-2.667
-2.824,-15.843,-2.824
-3.294,-17.255,-2.667
-3.922,-20.392,-2.667
-5.176,-24.314,-3.922
-6.745,-26.353,-4.235
-11.608,-29.961,-5.176
-15.373,-31.059,-5.49
-22.275,-30.745,-5.02
-24.627,-28.078,-5.333
-27.922,-22.118,-7.059
-31.373,-17.725,-6.118
-33.098,-16.157,-2.98
-35.294,-12.235,2.824
-36.706,-9.882,3.608
-40.941,-4.863,2.353
-42.196,-2.353,1.569
-39.529,1.569,2.98
-35.608,0.627,3.294
-32,-4.392,3.294
-30.431,-6.588,2.824
-29.647,-7.373,2.039
-16.314,-16.784,-16
13.961,-26.196,-12.235
80,-80,-5.961
63.216,-50.824,36.078
-64.784,8.784,-13.804
-71.843,-4.392,8.157
-8.627,-25.882,9.882
0,-5.176,4.549
-2.039,0.314,5.961
-7.216,3.137,-8.314
-14.431,5.804,-19.294
-17.255,-18.824,-3.922
-9.098,-21.804,-1.569
-4.392,-5.647,4.078
-5.647,-10.196,-1.569
-3.137,-9.098,-2.98
-5.02,-7.216,-2.51
-4.235,-8.157,-2.196
-3.451,-8.157,-1.725
-3.922,-8,-0.471
-3.608,-9.725,-0.471
-3.137,-10.196,-0.941
-2.824,-9.412,-2.196
-3.922,-8.627,-1.882
-4.078,-8.784,-1.569
-2.824,-9.098,-1.569
-3.137,-8.784,-1.725
-3.765,-8.941,-1.569
-4.078,-8.627,-2.039
-4.078,-8.627,-2.51
-4.078,-8.941,-2.667
-3.765,-8.941,-2.51
-3.294,-8.941,-2.196
-2.98,-9.098,-1.725
-2.51,-9.255,-1.725
-2.353,-8.941,-1.725
-3.608,-8.784,-1.569
-3.765,-8.941,-1.255
-4.392,-8.784,-1.569
-4.078,-8.784,-2.353
-4.392,-8.627,-2.51
-3.922,-8.941,-2.51
-3.608,-8.784,-2.667
-3.294,-8.784,-2.824
-2.824,-9.255,-2.824
-2.196,-9.255,-2.039
-2.353,-9.098,-0.941
-2.353,-8.627,-0.627
-2.51,-9.569,-1.412
-2.824,-9.882,-1.569
-4.078,-10.51,-1.725
-4.706,-10.51,-1.725
-5.961,-10.824,-1.725
-5.961,-10.824,-1.569
-5.176,-11.451,-0.941
-4.235,-11.922,-0.784
-4.078,-12.392,-0.784
-3.765,-12.863,-1.255
-3.608,-13.176,-1.412
-4.078,-13.961,-1.412
-4.235,-14.431,-1.412
-5.49,-15.529,-2.196
-6.431,-15.686,-3.137
-5.02,-16.627,-4.078
-6.431,-17.255,-5.02
-5.176,-18.667,-4.863
-4.078,-22.118,-3.608
-4.078,-24.941,-2.353
-3.922,-29.961,-7.373
-3.765,-31.373,-9.725
-2.196,-35.451,-9.412
