accX,accY,accZ
-2.039,-9.725,-2.039
-2.039,-9.882,-2.039
-2.667,-9.569,-1.725
-2.98,-9.098,-1.569
-3.294,-9.412,-1.882
-2.824,-9.412,-1.725
-2.824,-9.098,-1.412
-2.824,-9.255,-1.569
-2.667,-9.098,-1.412
-2.667,-8.941,-1.725
-2.667,-8.627,-1.882
-2.51,-8.627,-2.039
-2.667,-8.471,-1.882
-2.98,-8.314,-2.039
-2.98,-8.157,-2.196
-2.98,-8.471,-2.196
-3.137,-8.471,-2.039
-3.765,-8.314,-2.039
-3.922,-8.471,-2.196
-3.765,-9.098,-2.667
-3.137,-9.255,-2.824
-3.294,-9.412,-2.98
-2.824,-9.882,-3.137
-2.667,-9.725,-2.98
-2.353,-10.039,-2.98
-2.039,-10.196,-2.824
-2.51,-10.51,-2.98
-2.039,-10.196,-2.667
-2.196,-9.725,-2.51
-1.882,-11.294,-2.353
-2.039,-10.824,-2.353
-1.725,-10.51,-2.667
-1.412,-10.353,-2.98
-2.039,-10.98,-2.353
-2.51,-11.451,-2.039
-4.549,-11.922,-2.51
-4.706,-12.549,-2.196
-5.333,-13.49,-1.725
-5.961,-14.275,0.157
-4.863,-18.51,0.314
-5.804,-13.49,-0.314
-6.275,-19.451,3.922
-7.686,-24,5.804
-8.627,-21.333,4.078
-9.725,-20.392,6.431
-11.137,-22.588,8
-7.373,-21.49,1.882
-2.98,-18.824,-4.549
-10.51,-23.059,-4.706
-11.765,-22.588,-0.627
-12.078,-21.961,1.882
-6.118,-14.275,-4.863
-5.647,-15.686,-4.078
-6.431,-19.765,-0.471
-5.49,-17.725,-2.196
-7.843,-10.039,-2.039
-8.471,-3.137,-2.667
-7.059,-15.686,-10.98
-8.314,-17.255,-1.098
-8.627,-8.784,7.529
-8.941,-1.569,8.157
-5.49,-4.863,7.843
-1.569,-3.294,6.902
-1.255,-2.667,6.118
-2.353,-2.824,4.392
-2.824,-2.353,3.765
-3.294,-2.353,2.196
-2.667,-2.824,1.569
-1.882,-3.922,1.569
-1.412,-4.078,1.725
-0.627,-4.392,2.196
-0.471,-4.863,1.882
-0.157,-5.333,1.725
0.157,-5.647,2.51
0.157,-5.02,1.569
0,-5.02,0.941
0.157,-6.431,1.098
-0.314,-6.431,0.471
0.157,-6.902,0.314
0,-8.627,-0.471
-0.314,-9.098,-0.471
-0.784,-9.725,-1.255
-2.196,-10.667,-1.412
-1.882,-11.765,-0.784
-1.412,-14.118,-2.667
-0.627,-15.216,-3.294
0.157,-16.314,-5.333
-0.157,-16.314,-5.176
-2.039,-17.255,-5.647
-3.608,-17.725,-6.431
-8.471,-18.667,-7.529
-7.373,-21.176,-10.196
-7.843,-24,-10.039
-7.059,-22.902,-12.078
-5.961,-21.49,-12.706
-4.863,-19.451,-14.588
-4.706,-21.961,-13.333
-3.922,-18.51,-12.863
-3.137,-18.196,-15.529
-3.294,-15.216,-18.039
-2.51,-14.588,-20.863
3.294,-11.451,-31.529
6.745,-6.431,-35.137
7.529,-4.392,-33.725
2.353,-6.902,-29.647
-5.49,-7.529,-24.314
-3.137,-6.745,-17.882
0,-6.588,-17.569
2.824,-7.843,-10.353
-0.157,-10.51,-5.176
-2.51,-9.098,-2.039
-8.471,-10.667,12.549
-8.784,-18.824,35.922
-4.235,-15.216,-13.02
-0.627,-14.745,-24.314
7.373,-33.255,-12.549
13.49,-31.686,-6.588
1.098,-14.902,0
-7.843,-7.373,-2.824
-16,-4.863,-9.882
-16,-4.078,-18.039
-2.039,-18.353,-1.725
8.471,-15.686,-5.647
7.686,-14.588,-5.49
-7.059,-6.902,-0.471
-10.196,-3.765,0.941
-2.667,-8.157,-3.294
0.941,-11.765,-2.353
-2.667,-10.51,-1.412
-3.451,-9.569,-0.627
-3.451,-10.353,-1.412
-2.353,-10.667,-0.784
-2.824,-9.725,-0.627
-3.922,-9.098,-1.098
-3.765,-9.412,-1.255
-2.667,-9.882,-1.098
-2.824,-10.353,-1.255
-2.51,-10.196,-1.412
-2.51,-9.725,-1.412
-3.137,-9.255,-1.882
-4.235,-9.098,-1.255
-4.235,-8.941,-1.255
-3.765,-9.098,-1.255
-2.039,-9.412,-1.412
-3.451,-9.412,-1.098
-3.451,-9.569,-0.941
-3.137,-9.098,-1.098
-2.667,-9.098,-1.098
-2.51,-9.412,-1.412
-2.51,-9.569,-1.412
-2.51,-8.627,-1.882
-2.667,-8.784,-1.255
-2.353,-9.569,-1.725
-2.353,-8.314,-2.196
-2.51,-8.471,-2.196
-2.824,-8.941,-1.882
-3.137,-8.627,-2.039
-3.608,-8.471,-1.882
-3.608,-8.627,-1.882
-3.922,-8.157,-1.882
-3.922,-8,-1.882
-3.451,-8.941,-2.353
-3.294,-8.941,-1.882
-2.98,-9.098,-2.196
-2.51,-9.882,-2.51
-2.353,-9.098,-2.353
-2.51,-9.882,-2.51
-2.667,-9.882,-2.667
-2.824,-10.039,-2.51
-2.667,-10.196,-2.667
-2.824,-10.51,-2.667
-2.824,-10.353,-2.51
-2.824,-10.51,-2.51
-2.51,-10.98,-2.51
-2.824,-10.98,-2.353
-2.353,-11.294,-2.196
-1.255,-8.941,-2.98
-2.667,-13.02,-1.725
-2.353,-11.451,-1.725
-5.333,-13.176,-0.941
-4.863,-14.118,-1.412
-6.275,-15.529,-0.784
-5.961,-16.784,-0.157
-6.118,-17.725,0.314
-5.804,-20.549,2.98
-6.902,-23.059,4.235
-9.412,-26.51,7.059
-7.216,-25.412,7.529
-7.843,-26.667,5.333
-7.686,-26.039,1.255
-7.373,-22.745,0.157
-8.157,-23.843,-0.941
-10.196,-15.686,-5.333
-13.176,-16.157,-0.784
-12.078,-15.843,-0.941
-4.078,-14.588,-11.922
-4.863,-16.627,-6.902
-6.588,-15.843,-5.333
-4.706,-10.196,-3.451
-5.49,-6.588,2.039
-6.118,-11.451,-1.725
-9.725,-10.51,7.529
-5.49,-3.137,9.412
-4.078,-3.608,8.157
-2.039,-3.608,6.431
-2.667,-3.608,5.176
-3.451,-2.98,3.137
-3.608,-2.824,3.137
-2.98,-3.451,2.824
-2.353,-4.392,3.294
-1.569,-4.392,2.353
-0.627,-4.392,2.353
-0.314,-6.118,2.51
0,-4.549,2.98
0.157,-6.902,2.51
-0.941,-5.176,2.98
0.157,-5.333,1.098
0,-6.745,1.255
0,-6.588,1.255
0.627,-7.843,0.471
0.784,-8.627,0.314
1.569,-9.412,-0.471
0.157,-10.667,-0.784
0.471,-10.824,-0.784
-0.314,-11.765,-0.471
0.314,-12.235,-0.627
-1.098,-13.02,-0.941
-0.471,-12.392,-2.51
-1.412,-15.216,-3.137
-0.157,-13.961,-4.078
-0.471,-15.373,-5.804
-1.412,-17.412,-4.706
-3.765,-18.98,-5.647
-7.843,-20.863,-5.49
-7.059,-19.294,-7.686
-6.431,-20.235,-10.824
-6.275,-23.216,-11.922
-6.118,-21.961,-12.392
-6.118,-21.02,-12.549
-6.745,-20.549,-13.647
-6.431,-18.824,-14.431
-5.961,-17.255,-18.039
-4.078,-14.902,-21.333
0.784,-10.98,-29.02
5.02,-7.216,-36.235
6.118,-5.804,-36.863
5.647,-4.392,-34.353
1.098,-3.922,-30.431
-3.608,-3.608,-23.686
-3.451,-4.549,-21.961
0.157,-6.118,-15.686
-0.157,-5.961,-11.451
-2.196,-18.824,2.196
-3.137,-11.137,18.667
-5.333,-14.902,29.02
-8.157,-9.882,-8.784
-10.667,-9.412,-28.392
5.02,-37.02,-12.549
8.941,-42.353,-9.569
3.137,-15.529,-5.176
0.941,-13.804,8.627
-15.373,4.706,-16
-9.569,-9.725,-7.529
0.314,-23.059,-3.294
10.667,-19.137,-2.353
4.392,-11.765,-4.078
-7.373,-5.647,-0.627
-7.843,-7.059,1.412
-0.157,-6.745,0.157
-0.157,-7.373,-0.784
-5.333,-9.255,-2.196
-4.549,-9.725,-2.98
-2.98,-10.98,-1.255
-2.196,-8.941,-0.157
-3.922,-9.882,0.157
-3.922,-10.039,-1.412
-3.294,-9.412,-1.098
-3.451,-9.725,-2.039
-3.294,-9.569,-1.725
-2.824,-10.039,-1.255
-2.039,-10.039,-0.941
-2.51,-10.353,-1.569
-2.824,-9.569,-1.412
-3.608,-9.255,-1.569
-4.392,-8.627,-1.255
-4.235,-8.627,-1.098
-3.922,-9.412,-1.098
-3.451,-9.255,-1.098
-3.294,-8.627,-0.941
-3.137,-8.627,-0.784
-2.98,-9.098,-0.941
-2.98,-9.255,-0.784
-2.667,-9.098,-1.098
-2.98,-8.627,-1.098
-2.824,-8.314,-1.255
-2.824,-8.471,-1.255
-2.98,-8.314,-1.882
-3.294,-8.471,-1.882
-2.98,-8,-1.725
-4.235,-7.686,-1.412
-3.294,-7.843,-1.569
-3.608,-8.627,-1.725
-3.294,-9.412,-1.725
-3.137,-8.157,-1.569
-2.353,-9.098,-2.039
-2.51,-9.098,-2.039
-2.353,-9.255,-1.882
-2.51,-9.569,-1.882
-2.667,-9.412,-2.039
-2.196,-9.725,-2.196
-3.294,-10.51,-1.569
-2.353,-10.667,-2.039
-2.667,-10.353,-2.51
-2.51,-10.98,-2.353
-2.51,-11.294,-2.51
-2.51,-10.667,-2.667
-2.039,-11.137,-2.51
-2.196,-11.137,-2.824
-1.882,-11.451,-2.51
-2.039,-11.765,-2.51
-1.882,-9.569,-2.353
-4.078,-12.235,-1.882
-3.765,-12.235,-1.725
-4.706,-13.333,-1.725
-5.02,-14.431,-1.255
-4.863,-15.216,-0.784
-4.549,-15.843,-0.314
-4.863,-15.843,0.157
-5.961,-19.451,2.039
-5.804,-19.765,2.196
-4.863,-17.725,5.647
-5.804,-20.863,6.431
-5.02,-21.49,5.647
-7.059,-22.902,7.373
-9.098,-23.059,5.02
-8.471,-18.824,-5.176
-9.569,-17.725,-2.196
-13.333,-23.529,3.608
-13.176,-18.667,-0.784
-9.255,-14.588,-4.078
-6.275,-13.804,-9.412
-6.118,-18.039,-5.961
-8.941,-21.49,-4.392
-9.098,-15.373,-2.98
-9.725,-2.824,2.667
-7.843,-3.451,-0.471
-6.431,-14.745,-0.627
-8.314,-11.451,4.863
-6.275,-2.353,8.314
-4.706,-3.608,7.059
-3.137,-2.824,7.843
-2.824,-2.039,6.431
-3.137,-1.882,4.863
-3.451,-2.98,3.608
-5.176,-2.039,2.824
-2.667,-4.863,2.824
-4.392,-3.608,2.824
-3.451,-4.863,1.882
-2.824,-3.765,1.725
-3.922,-1.882,1.569
-3.608,-4.863,1.412
-2.51,-4.549,0.157
-3.451,-5.02,0.627
-2.824,-5.647,0.157
-2.824,-6.118,0.314
-2.51,-6.902,0.157
-2.196,-7.843,-0.314
-2.51,-8.471,-0.314
-2.196,-9.412,-1.569
-2.51,-10.039,-1.882
-2.824,-11.608,-2.039
-2.196,-11.608,-2.353
-3.451,-12.235,-1.882
-3.451,-16.314,-1.255
-1.255,-15.059,-3.765
-0.784,-15.686,-6.118
-2.51,-17.569,-5.176
-4.863,-21.333,-4.078
-5.02,-20.392,-5.804
-7.686,-17.725,-9.882
-8.627,-21.647,-8.784
-5.333,-21.49,-11.294
-8,-22.118,-10.196
-5.647,-23.216,-10.353
-5.02,-20.078,-11.922
-5.804,-19.137,-12.549
-2.824,-18.353,-17.255
-2.039,-16.471,-19.294
2.039,-12.235,-27.294
4.392,-10.51,-31.843
8,-7.216,-34.824
8.941,-6.431,-33.569
3.765,-5.961,-28.549
-5.804,-7.373,-24.314
-5.02,-7.373,-20.235
0,-6.588,-15.843
1.569,-7.686,-13.176
-5.176,-16.941,3.922
-5.804,-13.49,-0.157
-10.824,-3.922,2.824
-8,-10.196,18.353
-4.078,-21.961,32.314
-0.314,-13.804,-6.118
3.451,-22.118,-18.039
-0.314,-34.667,-11.765
1.725,-23.529,-12.235
-4.549,-16.471,4.235
-7.529,-7.216,7.373
-9.098,-5.176,-5.333
-7.216,-8.157,-14.745
1.255,-16.314,-4.392
0.314,-17.412,0.157
-1.725,-9.882,-4.078
-6.118,-7.686,-4.078
-7.529,-7.686,0.157
0.627,-9.882,-0.784
0.314,-10.196,-0.471
-2.51,-8.627,-1.255
-3.451,-9.255,-0.941
-4.863,-10.196,-1.882
-4.235,-10.51,-1.569
-3.765,-10.196,-0.627
-3.451,-9.725,-1.255
-4.706,-8.941,-1.098
-4.235,-8.627,-1.569
-4.549,-8.471,-1.882
-4.078,-9.098,-1.725
-3.451,-9.569,-1.725
-3.765,-8.941,-1.882
-3.451,-8.941,-1.412
-3.137,-9.098,-1.255
-3.608,-8.471,-1.255
-5.176,-8.157,-1.412
-5.176,-8.784,-1.882
-4.549,-9.725,-1.412
-2.667,-8.784,-1.098
-3.451,-8.784,-0.627
-2.039,-9.725,-0.157
-2.51,-9.412,-0.157
-2.51,-9.412,-0.157
-3.137,-8.941,-0.314
-3.294,-8.314,-0.314
-3.294,-8.627,0
-2.353,-8.627,-0.314
-3.137,-8,-0.471
-2.824,-9.882,-0.471
-2.824,-9.412,-0.784
-2.196,-9.412,-1.255
-3.137,-8.941,-1.569
-2.824,-9.882,-1.569
-3.451,-9.569,-1.569
-3.294,-9.569,-1.882
-3.451,-9.882,-2.039
-2.98,-9.882,-2.039
-2.667,-10.51,-2.353
-2.824,-10.51,-2.039
-2.824,-10.824,-1.882
-3.608,-10.667,-1.725
-3.451,-10.98,-1.725
-3.137,-11.137,-2.039
-3.294,-10.98,-1.882
-2.824,-12.078,-1.882
-2.039,-11.922,-2.196
-2.039,-11.451,-2.824
-2.51,-12.549,-2.353
-3.294,-12.078,-1.725
-5.49,-13.49,-1.255
-5.804,-14.275,-1.255
-6.588,-15.216,-0.627
-7.059,-15.686,-0.157
-7.216,-17.255,1.098
-7.373,-17.882,1.725
-6.588,-18.98,2.039
-7.686,-19.451,3.608
-9.569,-22.902,7.059
-7.686,-21.804,7.059
-8,-22.902,6.588
-6.588,-23.216,3.451
-7.529,-23.059,1.725
-10.51,-16.157,-2.667
-9.882,-15.529,-3.922
-10.196,-21.176,-0.627
-10.196,-19.765,1.882
-8.471,-16.627,1.569
-5.647,-15.529,-3.451
-6.588,-13.647,-2.196
-7.373,-5.333,-2.353
-5.02,-5.961,1.412
-10.353,-17.412,-1.569
-12.549,-13.647,6.118
-11.294,-2.51,12.078
-8.471,-3.608,9.882
-4.392,-5.02,9.882
-2.353,-3.922,8.627
-3.765,-2.039,5.804
-3.922,-3.765,5.49
-4.706,-2.98,3.922
-5.02,-5.49,3.922
-3.294,-6.902,1.725
-2.039,-0.784,0.157
-5.176,-7.529,3.294
-1.882,-4.863,1.569
-2.353,-5.961,1.569
-2.039,-7.216,0.157
-1.882,-6.902,-0.157
-1.725,-7.529,0.314
-1.725,-8.157,-0.314
-1.882,-8.784,-0.314
-2.039,-9.882,-0.784
-2.353,-10.039,-0.941
-3.137,-10.667,-1.255
-2.51,-11.137,-1.569
-3.137,-13.333,-2.039
-2.824,-13.961,-3.137
-2.039,-14.588,-4.549
-2.824,-15.529,-5.333
-1.255,-17.098,-5.49
-5.804,-21.647,-3.451
-4.235,-19.765,-6.745
-8.784,-22.275,-6.118
-9.255,-21.647,-8.157
-6.588,-22.902,-10.667
-5.647,-24.314,-12.078
-2.824,-23.373,-10.824
-4.392,-21.49,-11.765
-3.294,-19.922,-13.49
-3.294,-17.255,-17.098
-3.765,-16,-20.078
2.039,-12.706,-29.49
4.549,-10.824,-33.725
8.784,-8.471,-35.137
9.882,-6.902,-34.824
3.608,-6.902,-29.02
