accX,accY,accZ
0.471,-4.549,-0.627
0.471,-5.176,-0.627
0.784,-5.647,-0.627
0.784,-6.118,-0.941
1.098,-7.529,-1.098
1.098,-9.098,-1.412
0.784,-9.412,-1.725
0.314,-10.039,-1.882
0.314,-10.196,-2.196
-0.314,-10.51,-1.725
-0.784,-10.667,-0.627
-0.941,-11.137,-0.157
-0.784,-13.176,1.569
-0.627,-14.588,2.353
-0.314,-16.157,2.353
-0.157,-15.843,-0.627
-0.941,-14.745,-2.98
-1.725,-13.647,-9.412
-2.353,-13.961,-10.98
-2.98,-14.745,-11.765
-3.137,-14.902,-11.608
-3.922,-14.745,-12.235
-5.961,-15.529,-11.137
-5.49,-16,-9.882
-3.451,-14.745,-7.843
-2.667,-13.49,-8.314
-0.627,-12.392,-8.941
2.196,-11.451,-6.902
3.451,-10.98,-6.275
5.647,-10.196,-5.647
6.431,-9.882,-5.49
6.745,-9.255,-5.647
6.118,-8.941,-6.431
5.333,-9.255,-6.275
4.706,-10.667,-4.706
3.922,-11.294,-3.765
3.608,-12.392,-2.196
3.608,-12.392,-1.569
2.667,-11.608,-0.784
1.569,-10.353,-0.784
1.255,-9.412,-1.412
0,-7.373,-2.51
-0.314,-6.745,-2.667
-0.784,-6.118,-2.98
-0.784,-5.49,-2.667
-0.471,-5.333,-2.196
-0.314,-5.333,-1.725
-0.471,-5.333,-1.882
-0.157,-4.863,-1.098
0.314,-4.549,-0.941
0.941,-3.922,-0.471
0.627,-3.294,-0.627
0.627,-3.137,-0.627
0.784,-3.137,-0.784
0.627,-2.824,-0.784
0.627,-3.137,-0.627
0.314,-3.294,-0.627
0.314,-3.608,-0.627
0.471,-3.765,-0.627
0.627,-3.765,-0.784
0.627,-3.922,-1.412
0.314,-4.706,-1.882
0.314,-5.961,-2.196
0.157,-7.216,-1.725
0.157,-8,-1.255
0,-8.627,-0.157
0.314,-9.255,0
0.941,-10.039,0.314
2.353,-11.451,0.471
2.824,-12.392,0.157
3.765,-14.431,0.627
3.922,-15.216,0.941
3.608,-16.627,0.627
3.765,-15.373,-3.451
4.392,-13.49,-6.588
5.647,-12.235,-11.294
5.961,-12.392,-11.922
5.961,-13.961,-11.294
5.961,-14.902,-11.451
6.431,-16.471,-11.451
8.157,-16.627,-10.667
8.314,-16.157,-9.569
6.902,-14.588,-7.529
5.647,-13.49,-7.216
2.824,-12.706,-6.902
0.471,-11.137,-5.961
-1.255,-10.824,-6.275
-4.235,-9.412,-6.588
-4.549,-8.157,-7.216
-5.176,-8,-7.373
-4.863,-8.471,-7.373
-4.549,-9.882,-6.588
-3.608,-11.294,-4.392
-2.824,-12.078,-3.294
-0.941,-13.176,-0.471
0,-13.49,0.471
1.255,-13.49,1.255
2.353,-12.392,0.627
2.98,-11.294,0.314
3.137,-9.255,-0.941
3.294,-8.627,-1.569
3.137,-7.529,-2.196
2.667,-6.902,-2.196
3.137,-6.118,-2.667
3.137,-4.863,-2.51
2.667,-4.078,-2.51
2.196,-2.98,-2.51
1.725,-2.667,-2.353
0.941,-2.196,-2.353
0.314,-1.882,-1.882
-0.157,-1.882,-1.725
-0.157,-1.725,-1.412
-0.314,-2.039,-1.255
-0.784,-2.51,-0.627
-0.941,-2.98,-0.157
-0.784,-3.294,0
-0.471,-3.922,0.157
-0.157,-4.392,0
0.157,-4.863,-0.314
0.314,-5.961,-0.471
0.471,-6.431,-0.627
1.412,-7.843,-1.412
1.725,-8.157,-1.725
2.039,-9.255,-2.667
1.725,-9.569,-3.137
0.627,-9.725,-3.294
-0.471,-10.196,-2.98
-1.412,-10.51,-2.667
-2.196,-11.922,-0.784
-2.98,-12.706,-0.157
-2.196,-15.843,2.039
-0.627,-17.255,2.196
-0.784,-17.412,1.098
-0.941,-16.471,-2.51
-0.627,-15.686,-5.333
-0.784,-14.745,-8.941
-0.941,-14.431,-9.412
-1.882,-14.588,-9.569
-2.824,-14.431,-10.353
-3.451,-14.431,-10.51
-4.706,-15.373,-10.196
-4.706,-15.529,-9.412
-2.667,-14.902,-7.529
-0.941,-13.333,-7.843
0,-13.02,-7.529
2.98,-11.451,-6.275
4.078,-10.51,-5.333
5.647,-9.412,-5.02
6.745,-8.627,-5.333
7.216,-8,-5.647
6.745,-8.471,-6.118
6.745,-8.941,-6.275
6.275,-9.882,-5.333
4.863,-10.667,-4.235
4.078,-11.137,-2.51
3.451,-11.137,-0.941
3.137,-10.98,-0.627
2.196,-10.353,-0.784
1.569,-9.725,-1.098
0.627,-8.471,-2.196
-0.314,-7.216,-2.51
-0.471,-6.588,-2.51
-0.941,-6.118,-2.196
-0.471,-5.647,-2.039
-0.157,-5.804,-1.569
0,-5.961,-0.941
0.314,-5.961,-0.627
0.314,-5.333,-0.471
0.471,-4.706,-0.627
0.627,-4.078,-0.784
0.471,-3.922,-0.627
0.314,-3.608,-0.627
0.314,-3.294,-0.941
0,-3.451,-0.941
0,-4.078,-0.941
0,-3.922,-0.941
0.471,-4.078,-0.784
0.784,-4.706,-1.569
0.941,-4.863,-1.725
1.725,-5.49,-2.824
1.725,-6.118,-3.294
1.725,-7.216,-3.451
1.569,-7.529,-2.98
1.412,-8.157,-1.725
1.412,-9.412,-0.314
1.569,-9.882,0.157
2.353,-11.137,0.627
2.824,-11.608,1.098
3.922,-14.431,2.196
4.078,-17.412,2.667
3.608,-17.882,2.51
2.667,-16.941,0.314
2.667,-15.529,-1.725
3.922,-12.706,-8.471
4.078,-12.392,-10.667
4.706,-13.02,-11.294
5.02,-13.961,-10.353
5.176,-14.431,-10.353
6.588,-15.373,-10.667
7.216,-15.059,-10.353
7.373,-14.275,-8.314
5.647,-12.863,-7.059
4.235,-12.235,-6.902
1.725,-11.451,-5.49
0.314,-11.137,-5.02
-2.039,-10.51,-4.863
-4.235,-9.725,-5.333
-5.176,-9.725,-6.118
-4.863,-9.412,-7.373
-4.392,-10.196,-7.216
-4.549,-10.824,-6.588
-4.235,-11.765,-5.647
-2.196,-13.02,-2.98
-0.157,-13.647,-0.627
0.314,-13.333,-0.314
1.882,-12.078,-0.157
2.353,-11.294,-0.314
3.608,-10.039,-0.314
4.235,-7.843,-0.941
4.078,-7.059,-1.255
3.922,-6.588,-1.569
4.078,-5.961,-1.725
3.765,-5.333,-2.039
3.922,-5.02,-1.882
3.451,-3.922,-1.725
2.667,-3.137,-1.725
2.196,-2.51,-1.882
1.255,-2.196,-1.412
0.941,-2.039,-1.255
-0.157,-1.569,-1.725
-0.314,-1.412,-1.569
-0.314,-1.569,-1.569
-0.471,-2.196,-1.412
-0.627,-2.51,-1.098
-0.471,-3.137,-0.941
-0.157,-3.922,-0.627
-0.157,-4.235,-0.627
0,-5.647,-0.941
0.157,-6.588,-1.412
0.157,-8,-1.569
0.471,-8.314,-1.569
0.627,-9.569,-1.569
0.627,-9.882,-1.569
0.471,-10.039,-1.725
-0.471,-10.51,-1.882
-0.941,-11.137,-1.412
-1.725,-12.863,-0.627
-1.882,-14.745,1.255
-1.569,-15.686,2.353
-0.314,-16.941,2.353
0,-16.314,1.569
-1.255,-15.216,-1.255
-1.412,-14.745,-3.922
-1.725,-13.804,-8.784
-2.667,-14.118,-10.196
-2.824,-14.588,-10.353
-4.549,-14.902,-11.294
-5.02,-14.902,-11.451
-5.804,-14.745,-10.824
-4.863,-14.902,-8.784
-3.137,-14.745,-7.529
-1.412,-13.804,-7.686
-0.314,-13.02,-7.373
1.725,-11.608,-5.961
4.706,-10.51,-4.706
5.49,-10.039,-4.706
6.588,-9.255,-4.863
6.745,-8.941,-5.02
5.647,-8.471,-5.02
5.176,-8.627,-5.49
3.922,-10.039,-4.706
2.824,-11.294,-3.137
2.824,-11.765,-2.824
2.824,-12.392,-1.569
2.667,-12.078,-1.255
1.725,-10.824,-1.098
1.255,-9.412,-2.039
0.784,-8.471,-2.196
-0.314,-6.902,-2.353
0,-5.49,-2.353
-0.157,-4.392,-2.196
0.157,-4.235,-1.882
0.157,-4.078,-1.412
0.784,-4.078,-0.784
0.627,-3.765,-0.941
0.941,-2.98,-0.784
0.784,-2.824,-0.784
0.627,-2.51,-0.784
0.627,-2.353,-0.627
0.627,-2.353,-0.627
0.314,-2.667,-0.784
